,model,name,sno,results,best_param,RMSE,time
0,Lasso ,All_Feature,1,"[12.478523386857546, 12.48952174609945, 14.824095938683056]",{'alpha': 0.06999999999999999},11.48035418,1.681819916
1,Ridge ,All_Feature,1,"[12.223407872484067, 12.210028015999216, 12.2266857641]",{'alpha': 2.0},10.91152617,10.02882051
2,Random Forest ,All_Feature,1,"[13.4188879091844, 13.145571182164542, 13.141547218738545]","{'max_depth': 50, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 70}",10.99705338,149.0736217
3,Adaboost ,All_Feature,1,"[15.606299113957427, 12.226574956047982, 12.205716478941351]","{'learning_rate': 0.09, 'loss': 'square', 'n_estimators': 5}",10.97927022,44.81141615
4,XGBoost,All_Feature,1,"[14.167883037333173, 14.235195828501723, 14.192071143708969]","{'booster': 'gblinear', 'eta': 6.999999999999999e-16, 'max_depth': 10, 'min_child_weight': 4, 'n_estimators': 195}",11.87359037,31.04845643
0,Lasso ,All_Feature,2,"[6.400285668813511, 6.412919491205687, 6.657678601709061]",{'alpha': 0.026000000000000002},5.931351081,1.726213694
1,Ridge ,All_Feature,2,"[6.340240553899083, 6.333643564443274, 6.350586194508667]",{'alpha': 6.0},5.870013762,9.84505868
2,Random Forest ,All_Feature,2,"[6.38587911969121, 6.356506216475931, 6.361488836134153]","{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 165}",5.964710528,156.2163098
3,Adaboost ,All_Feature,2,"[7.509860560162571, 6.3743020550399345, 6.3547286024399]","{'learning_rate': 0.005, 'loss': 'square', 'n_estimators': 15}",5.897028061,44.83092546
4,XGBoost,All_Feature,2,"[6.9297892434996715, 6.6231991026855805, 6.618787014190504]","{'booster': 'gblinear', 'eta': 4e-18, 'max_depth': 10, 'min_child_weight': 4, 'n_estimators': 180}",6.159020833,29.76374245
0,Lasso ,All_Feature,3,"[4.726859926134091, 4.756376526859701, 4.940001929859977]",{'alpha': 0.05},4.814923787,1.701757431
1,Ridge ,All_Feature,3,"[4.783286025823022, 4.783286026349513, 4.778030557692586]",{'alpha': 9.9e-08},4.955506885,9.881080151
2,Random Forest ,All_Feature,3,"[4.725080641128163, 4.667403442884138, 4.667403442884138]","{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 140}",4.790176657,140.7737737
3,Adaboost ,All_Feature,3,"[5.217629037904433, 4.790070801424054, 4.790070801424054]","{'learning_rate': 1e-08, 'loss': 'square', 'n_estimators': 40}",4.971860216,52.77069592
4,XGBoost,All_Feature,3,"[5.141040807757017, 4.895515872154081, 4.893510186048617]","{'booster': 'gblinear', 'eta': 5.999999999999999e-20, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 195}",4.966905574,30.03906298
0,Lasso ,All_Feature,4,"[3.7976508904642556, 3.82531753632131, 4.080823271196368]",{'alpha': 0.026000000000000002},3.697628231,1.792723179
1,Ridge ,All_Feature,4,"[3.64637992763632, 3.6349752085936604, 3.6635224022531223]",{'alpha': 6.0},3.632423151,9.929136753
2,Random Forest ,All_Feature,4,"[4.130020066789302, 4.046453471892053, 4.046453471892053]","{'max_depth': 50, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",3.772445015,147.4764578
3,Adaboost ,All_Feature,4,"[5.232107582919631, 3.668538727782796, 3.6684661574807413]","{'learning_rate': 5e-05, 'loss': 'square', 'n_estimators': 40}",3.643734041,52.29124498
4,XGBoost,All_Feature,4,"[4.765007450292842, 4.008830570033744, 4.003406994229567]","{'booster': 'gblinear', 'eta': 7e-15, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 195}",4.082109836,29.33355474
0,Lasso ,All_Feature,5,"[7.500097187820792, 7.500097187820792, 7.500097187820792]",{'alpha': 1.0},7.13396954,1.695562363
1,Ridge ,All_Feature,5,"[7.142832534024424, 7.180749008348479, 7.160213016443022]",{'alpha': 20.0},7.018133055,10.14423943
2,Random Forest ,All_Feature,5,"[7.388100158961281, 7.383267973755948, 7.36527616757406]","{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 11, 'n_estimators': 150}",7.00084851,147.8166258
3,Adaboost ,All_Feature,5,"[8.246628454823819, 7.167242450453625, 7.175977642375987]","{'learning_rate': 2e-05, 'loss': 'square', 'n_estimators': 5}",7.070486736,43.46846604
4,XGBoost,All_Feature,5,"[7.70375922324288, 7.4075020425614335, 7.4049892135309525]","{'booster': 'gblinear', 'eta': 1e-19, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 195}",7.123286203,29.58066773
0,Lasso ,All_Feature,6,"[8.848853246014842, 8.845050636031996, 9.575414936117033]",{'alpha': 0.04},9.52148967,1.747046947
1,Ridge ,All_Feature,6,"[8.744404546720137, 8.744404546720137, 8.787374089699911]",{'alpha': 10.0},9.575071755,10.07190323
2,Random Forest ,All_Feature,6,"[8.920475392863818, 8.967311107657013, 8.945230786772305]","{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 105}",9.601865332,140.7421987
3,Adaboost ,All_Feature,6,"[10.879312319663834, 8.778640250435574, 8.792589408672688]","{'learning_rate': 0.03, 'loss': 'square', 'n_estimators': 20}",9.71800113,51.44938254
4,XGBoost,All_Feature,6,"[10.156088717353592, 9.373233296107294, 9.365238222340196]","{'booster': 'gblinear', 'eta': 4e-15, 'max_depth': 20, 'min_child_weight': 2, 'n_estimators': 185}",10.1045298,29.67477965
0,Lasso ,All_Feature,7,"[6.971269911622225, 7.022494937682486, 7.843161855429926]",{'alpha': 0.043000000000000003},6.535384569,1.872959137
1,Ridge ,All_Feature,7,"[6.934216988217934, 6.909083327281772, 6.958926511506132]",{'alpha': 5.0},6.498655978,10.61621857
2,Random Forest ,All_Feature,7,"[7.334854133132854, 7.131188860416556, 7.133124924705711]","{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 11, 'n_estimators': 180}",6.580628854,173.7548921
