,sbi,PrecpHour,UVI,td,HUMD,H_24R,PRES,TEMP,WDSE,comfort,WD_E,WD_ENE,WD_ESE,WD_N,WD_NE,WD_NNE,WD_NNW,WD_NW,WD_S,WD_SE,WD_SSE,WD_SSW,WD_SW,WD_W,WD_WNW,WD_WSW,wkdy_0,wkdy_1,wkdy_2,wkdy_3,wkdy_4,wkdy_5,wkdy_6,hrs_0,hrs_1,hrs_10,hrs_11,hrs_12,hrs_13,hrs_14,hrs_15,hrs_16,hrs_17,hrs_18,hrs_19,hrs_2,hrs_20,hrs_21,hrs_22,hrs_23,hrs_3,hrs_4,hrs_5,hrs_6,hrs_7,hrs_8,hrs_9,holiday,sbi_1h,sbi_2h,sbi_3h,sbi_4h,sbi_5h,sbi_6h,sbi_7h,sbi_8h,sbi_9h,sbi_10h,sbi_11h,sbi_12h,sbi_1d,sbi_2d,sbi_3d,sbi_4d,sbi_5d,sbi_6d,sbi_7d
1,0.9049884628175267,4.020298451298024,0.44925826163410926,0.052589491048097264,0.05080624236221272,0.08932459835011826,-0.17835288800206545,-0.19184867292479432,0.49342550578174627,-1.331553059869638,-0.04886607681400414,-1.1085759693105135,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.13284901637346552,0.0,-0.0,-0.3697501978511439,-0.9177928238273126,-0.9559624183207551,-0.3324438827575446,-0.0,1.6728332613703896,0.7986796503906473,-0.0,0.0,6.664498932973456,10.78202553091644,5.105293138017241,1.348554473929925,0.0,0.0,-0.0,6.528420637504212,8.183102498771376,-3.4652562812709284,4.012383777178723,-14.645294992259718,-18.4658933681155,-6.263462805326677,-1.565101890760595,24.869544288654257,9.990851016337682,2.8467397640898824,0.0,-1.6211196433701824,-13.997804496364015,-3.685723912096383,0.0,-0.046099798727419275,-0.00733697919513335,-0.009427686770249057,-0.005530326077159364,0.002274428724141131,0.001498104915357719,-0.002244592847293877,-0.0032716220827354488,-0.00023335819420056416,0.0015553378276921385,-0.001180946457292999,0.0,0.028108407114939712,-0.0018330557752000089,-0.003381632619111555,0.0038915210640831153,-0.0018827179421873625,0.004947127756428456,0.014961173761236788
130,0.760295257050203,-0.161178645564367,-0.2840687989214529,0.0015463781385138319,-0.009174256320462341,0.007904674545146196,-0.02990079010054711,-0.0,0.003994972256543396,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.12356371596278404,0.0,-0.0,-0.08802650848771244,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.2605696612194857,-0.0,0.0026136811169973637,0.08867785854059926,0.0,0.2131889849572954,0.3220301532946079,1.33792895054019,1.2865326158736101,-0.625720446281799,-0.0,-0.0,-0.42569653521291073,-0.01381233260551538,-0.5448527474108081,-0.0,0.0,0.8911704620488732,0.0,-0.0,0.5794074780022327,0.09787905873573537,0.0,0.9367693329420032,0.0,-1.5047746069122285,-0.3631524918982746,-0.2297371497671799,0.0,-0.07850318504395927,0.009447226647334396,-0.007402420530392703,-0.0,-0.0,-0.010023021277369476,-0.002973654606678204,-0.012674785968115903,-0.002008189730960903,0.0008397833577102104,-0.015778984451883627,-0.009854426151503505,0.03277314811535921,0.008905495660899753,0.014041154171424297,-0.0019998245370873215,0.01658196311785231,-0.002385938819466892,0.009533589755654683
2,0.7160394146865504,0.49824566993238545,0.1467396025740621,0.09705551727415697,0.016793604739073934,0.00010012229359875867,-0.008225769457409944,-0.040577605456595826,0.3630645527039348,-0.18921106066126164,0.025654428169271642,-0.4570012783069702,0.0,-0.3664210497683856,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.08173880300970025,0.0,0.590082988707703,-0.0,0.04152383790465305,0.05765013294426581,0.0,-0.0,-0.09646160963547679,0.0,0.24534515052202782,-0.20268863483322025,0.9518312396070304,0.17054380973815494,-0.11860961989018172,2.8011398191405337,-0.05294561841951894,-0.3411702356955959,-0.15407313052744984,0.0,0.9549639246979281,6.96796170750173,1.6490929048433087,-1.3956238975941146,0.22793482159335124,-1.7462135457260457,-4.1279866302395085,-2.5911389484187866,-0.0,5.320492039527451,2.552271585124947,2.7034071543700278,-1.2414373505281904,-6.305019013415018,-0.4052401698709455,1.1080844369908218,-0.0,-0.07019379258696735,-0.006308596871438748,-0.01602121250557803,-0.0055729099041832725,-0.006003728732897293,-0.002409252479863486,0.004889383752950708,0.00024104646615427888,0.020062651418525486,0.02052566632565066,0.015226565703612147,0.002689931408512787,0.021755710316853725,0.0020009361475740446,-0.00021216738376826484,-0.00853206720754086,-0.013480484098277753,0.004539478255876377,0.007910782528374289
262,0.866177139158321,-0.6791172090324765,-0.24826918200971446,0.051377974225587646,-0.005489154485558283,0.012078412665614975,0.010619534036145638,0.002392216884506516,-0.009702563621489786,0.08742875790936003,0.1078143808376253,0.02815443735881444,-0.3172481685417536,-0.04842799423258171,0.28854185917194114,-0.1863352864022475,-0.6627991893364279,-0.2346163686171846,0.06784393403325645,-0.0,0.060063608956116996,0.052523606218726884,-0.016360223302603435,0.028609304764918096,-0.037642667514629795,0.13901796016304382,-0.19698170764405823,-0.06390755949444592,-0.020433851564832402,-0.06699084708992777,-0.0,0.05386264585890387,0.04872711889015268,1.0039849499839943,-0.040901479734133335,-0.03170122399250953,-0.048807873694725924,0.06224163727706269,-0.47413764408490994,-0.2175661811829825,-0.06433084422844468,0.371901162841409,1.4224792684076888,-0.360586564686453,-0.5436661077158228,0.029164468602422593,-1.555430076383771,2.6449932887551064,1.498047712542359,0.8905426076329042,-0.6586918736957668,-1.3599696035005922,0.13517381020174124,0.2651847518958558,-0.4217280155928981,-0.6423811422843495,-0.03313865221454399,0.49353838665933547,-0.06080932482216081,0.008764933776647778,0.0031716257503862414,0.0034591476993273518,-0.005034278482129789,-0.001776000997081907,-0.0034385056760027673,-0.004811610417987988,-0.004166732938666281,-0.0012186776885130559,-0.006808670529605693,-0.008869008701876166,0.012730114330450498,0.0009619299298848718,-0.0015453690007482222,0.007313958311121598,-0.0006659018397779217,0.008591000596281376,-0.01491543307643525
6,0.7143791171657361,0.6986080104945916,0.9348104260853612,0.000972295848779924,0.025786712938628435,0.0,-0.017504959091077587,-0.01186761228029945,0.22235337717787534,-0.3548180975910132,-0.09218896891721098,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.1326783940481993,-0.0,-0.0987552137646391,-0.0,-0.0,0.0,0.0020950665112083504,0.05525515736608749,0.27135456148670234,0.0,-5.679299380476312,0.27181239993127804,4.07423050855551,2.6021114381118537,-0.45366531814234456,0.4364768082548352,0.8271029342994645,-0.8667486741568583,6.167429281663984,3.8487712228676267,-0.0,-3.6808466837422062,-7.424085195147322,-0.23081526681305953,-0.0,0.0,-0.0,-4.7755524046738,-0.0,11.262443278823584,0.7402499209550714,-6.339457611449509,0.0,-0.05482292527579813,0.01962141743925821,-0.006805281326923556,-0.0012438534906528316,-0.0024829633902404805,-0.003737575021585204,-0.006233987406909454,-0.01894218844285698,-0.01877746260384378,-0.006288698510065824,-0.011614727612325222,-0.016549998025703862,0.007048548537858028,0.010898396247164023,-0.010936540718873747,0.0020460485945288116,-0.008066476555997598,0.0020915692353545823,0.0036845220553764217
18,0.8207003766783046,0.0,0.004540125981694991,0.07586848389356204,0.021316867258920125,-0.02030582818931205,-0.016164528052953306,-0.03504883350186813,0.04521969386119691,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.031025525347654286,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.06709354569381037,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.18690890611696018,1.6945158318252458,-0.0,-0.0,-2.6685617620317066,-1.4764555305909255,-0.0,0.0,0.0,0.04080282846426131,1.1526199190307662,-0.0,-0.7772086679873942,-0.0,0.0,0.0,-0.06696886605503131,0.013059589775289518,0.010974786672582663,0.003703270604430992,0.0,-0.0040577631464380065,0.005357721914946739,0.016312505044835206,0.011543182805413122,0.0021964950381368085,-0.0035725630780851616,-0.011594639436280004,0.004961057698445283,0.00023274275585048252,-0.0,-0.00033839343197748306,-0.0005927917787743889,0.007098245606562485,0.0024695379952538923
21,0.8740368219214737,1.2494334519722188,0.5206849155916993,0.020183989698590428,0.025594050216648005,0.003039977795098438,0.005491878485629033,0.01307524528966867,-0.29386677999900407,-0.07992200558394962,-0.2624688190219844,-0.0,-0.0,0.03252852902732012,-0.7866338562465844,-0.0,-0.0,-0.1706862513972765,0.0,-0.0,-0.0,-0.0,-0.0,0.23945334743044477,0.0,0.20117783544275916,0.08863533565082399,0.21229184307701776,-0.0,0.22183389039818974,0.3387024921828144,-0.4424650453389882,-0.19443712381862396,0.014109973618068436,0.060636825133475694,1.7474700764930966,-0.0,0.0,0.203530111412661,-0.4190060023624092,-0.41458624415897893,2.2414527063792944,-3.8073248098254533,-3.7213623023353173,-1.5532825148146474,0.0,-1.8657423690723365,-0.0,0.7636894105977586,-0.0,0.18321525414813059,-0.11597265672827704,-2.3652362734355377,3.0652812498981152,2.8827916806841034,-0.3474915914422804,0.5549540972481726,-0.16159520515499842,-0.02681640388183242,0.008005102774522923,-0.0,0.0035188335647536595,-2.970383186110413e-05,0.0023523760357834996,-0.0019340209660192132,-0.004709148040236116,-0.0009445448489466409,-0.003527023205090125,0.0031796471204723615,0.012918011958161373,0.012697460353658666,0.0012590515579209637,-0.005507814616928994,-0.009931606949644706,-0.004510842317900658,0.012664691538197045,-0.005246908940945074
280,0.7615535415109517,-0.5295928474663469,-0.4024719168076541,-0.009171430326320543,0.004440461953476009,-0.00889927195437778,-0.023637354047797782,-0.015532903957053718,0.06666237603279451,-0.0,-0.1293481503627996,-0.01789188911945269,-0.0,0.1013971828413429,-0.0,-0.0,0.0,-0.228155426458591,-0.0,-0.0,0.029512772667270207,0.3406153675179097,-0.0,-0.0,0.08225956620114198,0.0,-0.019618614996033026,-0.01100700469108306,-0.032181294684562656,0.0,-0.04327601522846299,0.0548051138809679,0.07758094384160613,1.039038025325559,0.4101824941326554,-0.021461489305669747,-0.7662036637720019,0.31617407343501935,0.15625349367849123,0.24064936971898174,0.506478082482362,1.720156941362649,-1.045170860437505,0.5330001314770062,-2.7918477804594404,0.18242199595352981,-3.5320297642492746,0.78735150837623,1.0650454915283774,1.028914278683012,0.8727641615020667,0.4513238969261061,2.2205469413703054,-3.7157324934499574,0.8315600429493877,0.0,-1.1487455365948873,-0.290888364979242,-0.05036047270839998,0.018546941663741084,0.009766023553499845,0.006250464996890816,-0.0022002469596468844,-0.01341469849556259,-0.0038428318893913432,-0.00583052771899154,-0.006008906234828889,0.0035455488402793174,-0.013977130468423587,0.008058417797324751,0.014479674460155242,0.013698154440984019,0.005333319479454993,0.003509489706138094,-0.011186961447523487,-0.012093124346847103,-0.01856023477169342
32,0.7979769056049347,-0.36186850300953577,-0.26399483505956084,0.15792991724408978,-0.005826970246740038,0.023216815635111063,-0.015206934575541743,-0.043002317453295955,0.06003472230936137,-0.14349800114507233,-0.12481087057302916,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.2909815594340624,-0.09163192655051482,-0.0,-0.0,-0.13842597722734146,-0.053096193187806034,0.07792359531253819,0.31594320599111864,0.0,0.562216338147978,0.7381287980159922,0.2830273597524508,-0.0,-0.0,0.0,-0.1245700704188513,-0.0,3.5061583780152383,0.0,-1.5208616705783287,0.25759236753032716,0.6260870177969389,-0.0,-0.0,-0.0,0.16839828257267364,-0.0,3.4104053319172976,2.537857166730476,-3.829039188443126,-3.746278177056905,-0.08458509627532305,0.0,-0.0672933584573062,0.015312127661418089,-0.0019708326320986612,0.0008903127597327201,-0.000745602195145476,-0.011401544751663798,-0.007287932219683615,-0.005494320949781178,0.0,-0.011473526501168608,-0.000501698086835652,-0.0030717771858978543,0.025513504468904716,-0.0028802839468190134,0.005785762235511283,0.0010415274987758013,-0.0071671506231914045,0.011267342345224862,-0.0019615926197743975
36,0.794783642939392,1.8323173632200283,0.9138725630269527,0.04830568633332851,0.00942222053969463,0.08812057293776779,0.010036214540858564,0.017662931713843213,0.353095716457288,-0.0,0.0,-0.0,-0.0523421804586407,-0.0,0.0,1.0746687153692012,0.0,0.5839486255223264,-0.0,-0.0,-0.20459408321533645,0.0,-0.005645997142694662,0.5532947230433032,0.16030468206898807,-0.4033780790421933,0.05501435290815043,0.0,-0.0,-0.29715881780959225,-0.4780839685223125,0.18468745193710423,0.14332185352569585,-0.0,0.0,-8.695285691082168,1.6697641296145656,8.69953229230843,8.195025594248888,-3.0659979498449252,-0.38417889145381323,-2.454746531620691,0.9128384611560898,5.172277360843486,1.1615083737671086,0.0,-2.7215084955124977,-5.8239518471483365,0.03245449972329468,-0.0,0.0,0.04483166958883598,-3.760868782623423,1.8001202057896566,4.643014787972798,2.4319964852060947,-6.800146439575827,-0.0,-0.06934265450997013,0.011731842210277637,0.015557450754463544,0.0036802001751346514,-0.01579867199900234,-0.01590610576092066,-0.0010987244718008156,0.007072685204256236,-0.002193189129232163,0.003845462788316321,-0.00463464731576213,-0.009303761978985445,0.030224221790464564,0.008502083250723455,-0.006129837733870114,-0.0076547498631514615,0.005235650719188864,-0.009829597717395751,-0.004343510352941853
