,hrs_21,hrs_20,hrs_8,hrs_9,hrs_19,hrs_10,hrs_22,hrs_7,PRES,comfort,hrs_16,WD_NE,WD_N,hrs_6,wkdy_2,WD_ENE,WD_E,wkdy_3,TEMP,sbi_1h,WD_SSE,wkdy_1,WD_NNW,wkdy_4,WD_SW,WDSE,wkdy_0,WD_SE,WD_NW,sbi_1d,holiday,WD_SSW,WD_WNW,WD_S,hrs_14,UVI,WD_WSW,hrs_0,WD_W,wkdy_5,hrs_15,hrs_17,wkdy_6,hrs_23,H_24R,td,hrs_2,HUMD,PrecpHour,hrs_5,hrs_11,hrs_18,sbi,hrs_4,hrs_13,hrs_12,hrs_3
1,-24.449931071815236,-3.016743606362718,-3.344254568446024,-8.706862767995053,9.6279892499361,-0.0,-32.93639399118751,4.72362124647441,-0.0,-6.280589957671992,8.154143545985631,0.0,-7.376241768098375,11.380312106020046,-16.486157857727378,-0.15670699263081328,1.5236720933189476,-7.295681521669249,-0.0,0.6846032811152839,-0.0,-6.811496425469008,0.0,-3.721298280948619,-0.0,-4.732632911782153,-5.669438414497077,-0.0,0.0,0.0628625222323134,0.0,-0.0,0.0,0.0,0.0,0.24855240003885476,-0.07262356662400385,-5.375757795134431,0.0,0.0,-0.0,1.7596204777821518,-1.4049926596971427,-11.12971413758124,0.0,10.701089628343379,-0.0,0.0,3.4048209665737357,6.462171562954228,12.110209781800357,10.700915314774763,0.11649079230688379,25.156595723949334,1.8942850950835695,10.890844975768923,26.98383213354659
130,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4138737289243916,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.06970639116951236,0.0,0.0,-0.0,0.0,-0.0,-0.19460167631115138,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.32160008543588964,0.0,-0.0,0.0,0.0
2,-4.941052147239259,-0.0,-3.197756115504655,-0.28000553168726666,0.7299224126983922,-0.4323172755504598,-7.362465791825274,-3.9382435817082238,0.0,-0.6131274012071799,0.0,0.0,-0.9152398455439832,0.6345135236664738,-0.0,-0.0,0.0,-0.718406515756218,-0.0,0.41330273815644264,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.20620277189194194,-0.0,0.0,0.11363351330929845,-0.0,0.0,-0.0,-0.0,-0.06831971574475075,0.06481948830094948,-0.0,-0.0,0.13807275227764113,0.0,-0.0,6.41332409159476,-0.47348913371159906,-1.9766457729244447,0.0,0.0,-0.0,1.67003470382658,0.0,2.173902239984271,0.9234677296331941,4.278943051709278,0.3104428566240394,2.3954364549062657,-0.057604840375206454,0.0,4.099240173946718
262,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.5770839625619273,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0734696802290514,0.0,0.0,-0.0,0.0,-0.0,-0.15705522625425408,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.18073156806719182,-0.0,-0.0,-0.0,-0.0
6,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.42517282187037625,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.25529099852684317,0.0,-0.0,0.0,-0.0,0.0,0.5817458695355526,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.17321482233312185,0.0,0.0,0.0,0.0
18,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.41208706870613604,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.30338869174368227,0.0,-0.0,0.0,0.0
21,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.5849812566374111,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.019377546033241076,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.19467311828619058,-0.0,0.0,0.0,-0.0
280,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.4814352302518648,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.18628567641712834,-0.0,0.0,-0.0,0.0,-0.0,-0.2673604582894766,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.15545235581599984,0.0,0.0,-0.0,0.0
32,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4245935684739976,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.04982204022117042,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.29676654343290626,0.0,-0.0,-0.0,0.0
36,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.3187122208384299,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.13553247827697942,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.21422114606457746,-0.0,0.0,0.0,-0.0
