time,sbi,PrecpHour,UVI,td,HUMD,H_24R,PRES,TEMP,WDSE,comfort,WD_E,WD_ENE,WD_ESE,WD_N,WD_NE,WD_NNE,WD_NNW,WD_NW,WD_S,WD_SE,WD_SSE,WD_SSW,WD_SW,WD_W,WD_WNW,WD_WSW,wkdy_0,wkdy_1,wkdy_2,wkdy_3,wkdy_4,wkdy_5,wkdy_6,hrs_0,hrs_1,hrs_10,hrs_11,hrs_12,hrs_13,hrs_14,hrs_15,hrs_16,hrs_17,hrs_18,hrs_19,hrs_2,hrs_20,hrs_21,hrs_22,hrs_23,hrs_3,hrs_4,hrs_5,hrs_6,hrs_7,hrs_8,hrs_9,holiday,sbi_1h,sbi_2h,sbi_3h,sbi_4h,sbi_5h,sbi_6h,sbi_7h,sbi_8h,sbi_9h,sbi_10h,sbi_11h,sbi_12h,sbi_1d,sbi_2d,sbi_3d,sbi_4d,sbi_5d,sbi_6d,sbi_7d
2020-05-21 13:00:00,117,0.0,6,0.7745098039215687,0.810126582278481,0.0,0.2186495176848895,0.6513157894736842,0.12195121951219513,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,105.0,103.0,65.0,65.0,84.0,127.0,128.0,124.0,111.0,26.0,10.0,7.0,47.0,82.0,56.0,132.0,94.0,62.0,69.0
2020-05-21 14:00:00,115,0.0,6,0.7973856209150327,0.8481012658227848,0.0,0.2057877813504851,0.6184210526315789,0.21951219512195125,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,117.0,105.0,103.0,65.0,65.0,84.0,127.0,128.0,124.0,111.0,26.0,10.0,66.0,91.0,64.0,134.0,112.0,31.0,55.0
2020-05-21 15:00:00,120,0.3,6,0.8104575163398693,0.8860759493670886,0.5,0.19935691318328105,0.6052631578947368,0.26829268292682934,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,115.0,117.0,105.0,103.0,65.0,65.0,84.0,127.0,128.0,124.0,111.0,26.0,84.0,104.0,72.0,121.0,118.0,25.0,57.0
2020-05-21 16:00:00,118,1.0,5,0.8137254901960784,0.9240506329113924,2.5,0.19614147909967905,0.5855263157894737,0.19512195121951223,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,120.0,115.0,117.0,105.0,103.0,65.0,65.0,84.0,127.0,128.0,124.0,111.0,90.0,110.0,73.0,126.0,121.0,18.0,66.0
2020-05-21 17:00:00,116,1.0,5,0.8202614379084967,0.9493670886075949,3.0,0.18971061093247868,0.569078947368421,0.24390243902439027,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,118.0,120.0,115.0,117.0,105.0,103.0,65.0,65.0,84.0,127.0,128.0,124.0,87.0,110.0,72.0,97.0,119.0,19.0,73.0
2020-05-21 18:00:00,119,1.0,0,0.8104575163398693,0.9620253164556962,10.5,0.20257234726688308,0.5559210526315789,0.02439024390243903,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,116.0,118.0,120.0,115.0,117.0,105.0,103.0,65.0,65.0,84.0,127.0,128.0,81.0,91.0,89.0,79.0,121.0,31.0,88.0
2020-05-21 19:00:00,120,1.0,0,0.8006535947712418,0.9873417721518988,23.0,0.23794212218649793,0.5526315789473684,0.17073170731707318,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,119.0,116.0,118.0,120.0,115.0,117.0,105.0,103.0,65.0,65.0,84.0,127.0,76.0,92.0,92.0,73.0,112.0,43.0,68.0
2020-05-21 20:00:00,120,1.0,0,0.7973856209150327,0.9873417721518988,7.0,0.22508038585208986,0.5361842105263157,0.24390243902439027,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,120.0,119.0,116.0,118.0,120.0,115.0,117.0,105.0,103.0,65.0,65.0,84.0,64.0,61.0,79.0,65.0,114.0,37.0,47.0
2020-05-21 21:00:00,121,1.0,0,0.7843137254901961,0.9873417721518988,2.5,0.2282958199356919,0.5230263157894737,0.17073170731707318,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,120.0,120.0,119.0,116.0,118.0,120.0,115.0,117.0,105.0,103.0,65.0,65.0,36.0,33.0,48.0,45.0,97.0,32.0,12.0
2020-05-21 22:00:00,116,1.0,0,0.7777777777777778,0.9873417721518988,0.5,0.2315112540192939,0.5296052631578948,0.07317073170731708,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,121.0,120.0,120.0,119.0,116.0,118.0,120.0,115.0,117.0,105.0,103.0,65.0,6.0,6.0,6.0,14.0,50.0,5.0,1.0
