,sbi,PrecpHour,UVI,td,HUMD,H_24R,PRES,TEMP,WDSE,comfort,WD_E,WD_ENE,WD_ESE,WD_N,WD_NE,WD_NNE,WD_NNW,WD_NW,WD_S,WD_SE,WD_SSE,WD_SSW,WD_SW,WD_W,WD_WNW,WD_WSW,wkdy_0,wkdy_1,wkdy_2,wkdy_3,wkdy_4,wkdy_5,wkdy_6,hrs_0,hrs_1,hrs_10,hrs_11,hrs_12,hrs_13,hrs_14,hrs_15,hrs_16,hrs_17,hrs_18,hrs_19,hrs_2,hrs_20,hrs_21,hrs_22,hrs_23,hrs_3,hrs_4,hrs_5,hrs_6,hrs_7,hrs_8,hrs_9,holiday,sbi_1h,sbi_2h,sbi_3h,sbi_4h,sbi_5h,sbi_6h,sbi_7h,sbi_8h,sbi_9h,sbi_10h,sbi_11h,sbi_12h,sbi_1d,sbi_2d,sbi_3d,sbi_4d,sbi_5d,sbi_6d,sbi_7d,y_sbi
sbi,1.0,0.05357630726006236,-0.0008641862471699617,-0.009861907782509931,0.07964942715298065,0.025325751984063567,0.0060698943763495,-0.045326626203383596,-0.03763826083314955,-0.04106979611210379,-0.011310415460569162,-0.014908453374695357,-0.0010479387333531276,0.02507608469839032,-0.002036939543616049,0.002385059964688622,-0.0006706821486792224,-0.006345956104168475,0.012876335097032423,0.0015177176614826484,0.002514149066056206,0.007830405755133166,0.008866242144503326,-0.008300584752686982,-0.006222241904369321,0.0025287697013272378,0.016447595109333003,-0.011032784754648058,-0.02131595209472053,-0.019197594730439062,-0.014290567687111176,0.012217642977599887,0.036873736525962625,0.005839829867583811,0.019404429069748586,-0.003214309941149384,-0.011958821140866428,-0.018920036572123707,-0.012777911459799849,-0.01171357593998439,-0.01725891353833956,-0.025771430448811875,-0.035704361734538705,-0.03385374862036498,-0.020925247073003694,0.026306802037440843,-0.02521076337698201,-0.03761869194152729,-0.03025655029865922,-0.009110711025916018,0.032423595546921175,0.04704497065376103,0.05051689313491422,0.04832625986960071,0.03656037272708823,0.019741633298216897,0.008617802114229961,-0.0002049932052643773,0.8797142236164079,0.737318429359987,0.6224790287749419,0.526943999049809,0.4450029061502295,0.36938756621569063,0.2985239157098857,0.2365673273795854,0.18775858147383903,0.15583765233604194,0.1390786931486191,0.13102698921062514,0.5766083347954187,0.49763995175934445,0.4725573919926894,0.4693978839067682,0.4780082887036153,0.5143962616797237,0.5594370647720788,0.8797026103258712
PrecpHour,0.05357630726006236,1.0,-0.036554001184193004,-0.05278689558658212,0.32652676882674175,0.27798753942771603,0.1500764737700436,-0.23261165312671392,0.010026742728190258,-0.19207873389599742,-0.003142820172960632,-0.00544833548298013,0.02544186386571677,-0.016434761849483337,0.02851986568669467,0.03321548461792505,-0.0060909003490244255,-0.005177475964530375,-0.015619249012212734,0.041632645305777496,0.012730255961122946,0.009699947415902641,-0.0035823523118501013,-0.01764654352692817,-0.015805948415842777,-0.020682419499298,0.050172541563487424,-0.004726116958255599,-0.019413973621438197,0.05060340840760343,0.007301956192287939,-0.059603367888693755,-0.02356042394338912,-0.04215059317534488,-0.042929672351926004,0.035894809043411,0.03851847274101839,0.02354411268524336,0.025876407047671707,0.035505200824084905,0.035759084409449915,0.05452150461935453,0.06006546761178108,0.014785951683963645,-0.02167362311953879,-0.04075283347618357,-0.019577455293890853,-0.03445681051530363,-0.04305911672876421,-0.04715147544184841,-0.04375457971536621,-0.026924178091857775,-0.02392243185267595,-0.0308539451149096,0.006667882874875803,0.03645620433241975,0.04957452282045261,-0.03622689413294783,0.05108615512784153,0.0493395590845263,0.048602915419747386,0.04748829876387113,0.04631150909863664,0.04566674446009388,0.04481640496564845,0.04334621518365757,0.04129600130703033,0.0389793010308846,0.03598605703631268,0.03252060507448051,0.01748684000190322,0.0071776887063182875,0.003934803993097049,0.005934493513295288,0.00512025279157039,8.117064337759707e-05,0.0072156390083616,0.050272279818293214
UVI,-0.0008641862471699617,-0.036554001184193004,1.0,-0.08205877037764112,-0.4288832969318675,-0.01983382082427044,-0.09362127521473079,0.26800144525876823,0.1749135668583233,0.14803860937767532,-0.026240985055109883,-0.00424418244837056,-0.008914890931150417,-0.117438277095028,0.004424796335884485,0.012358051788451688,0.05630182479059559,0.07571679942095276,-0.04653895879281867,-0.02025570581801665,-0.027867434471147527,-0.023507205958645125,0.021105687048594227,0.09853385667412838,0.09288304209046053,0.07882126440668957,-0.01317048213494104,-0.008864024922103088,0.0019188965147180967,-0.007862578917490624,-0.005678648777229446,0.0199497379381258,0.013430672579462379,-0.21789837262972583,-0.21789837262972755,0.1758872197728988,0.18428886277697365,0.18104321646564847,0.16827487675389544,0.18388905239879746,0.1844143891494679,0.17004545617281439,0.17004545617281278,-0.21834378636385549,-0.1761125486850459,-0.21789837262972137,-0.1757915095596367,-0.2183437863638594,-0.2183437863638534,-0.21834378636385104,-0.21789837262972703,-0.17743013393718887,0.16717368282898704,0.1671736828289847,0.1671736828289812,0.17320688122751268,0.18233952565305384,0.015197474394181995,0.03283893842387615,0.055864125199747254,0.07329394293743886,0.08614482881223802,0.09393911241402407,0.09728226458351354,0.08982909618807823,0.07715928424550035,0.06431596719235091,0.048229982172016565,0.020704512537449867,-0.010119499046814093,0.006506797611634515,0.01032589644411789,0.011568144699546668,0.011097180173624294,0.01118789641623071,0.013558064623840934,0.01180838420858767,-0.03553126663060942
td,-0.009861907782509931,-0.05278689558658212,-0.08205877037764112,1.0,0.1065566958567398,0.09371432364553342,-0.7567419129239605,0.7629064331001116,-0.1971834916896187,0.8255421959127596,-0.19139140109091135,-0.08905366105548361,-0.07019392878938957,0.1410169852012506,-0.05464305757752714,-0.0382374925157099,0.043483352404176334,0.060169713078288035,0.08321540498843617,-0.023192968313852043,0.03003321873304153,0.05656034419640381,0.04552372405622644,0.11386070348208183,0.0748032266627235,0.08085707745429367,0.026273407754008334,0.011162762940455428,-0.00911751185757159,-0.006825248031440296,0.004389237135961412,-0.016983212574856296,-0.008619739009374735,0.023310927053933235,0.020527565218581803,-0.047267411796818586,-0.04203189962438384,-0.0316609630483743,-0.026550434607377896,-0.018925127368329048,-0.010214058402084728,0.010081536111088594,0.023166542301593745,0.02741560378241363,0.027366967966546373,0.0187931495397757,0.027253922556693136,0.02699299797697355,0.02612478293967057,0.0243246005118337,0.01692638095609409,0.014534151585894627,0.012438893161458983,0.005619096963508815,-0.033536291770182136,-0.0455988433343683,-0.04934884230581854,-0.059348734249918586,-0.015025079237853118,-0.01970873830750889,-0.023472704217773824,-0.02589520683208101,-0.026981060451501924,-0.026656795642526692,-0.025006489140526778,-0.021962692277118064,-0.01742927017223193,-0.01222066960854558,-0.007554430385875612,-0.003755484718692795,-0.021421199507208877,-0.020932464745444745,-0.01898806727526217,-0.015436509250277345,-0.016147827127767262,-0.018225323922441777,-0.016759278289591253,-0.0052796934314543785
HUMD,0.07964942715298065,0.32652676882674175,-0.4288832969318675,0.1065566958567398,1.0,0.1609773026790102,0.1923201880113725,-0.48523945551176245,-0.2022948220923506,-0.3155345808356489,0.11984370922049617,-0.041019763808945064,0.055279384599768694,0.15016153252739808,-0.03905515928563155,-0.029018174839288455,-0.07477203861362415,-0.10364404105020339,0.04188093348932652,0.005584343603000287,0.029292645680315525,0.029688778692877272,-0.0015000415320251083,-0.18955460742236346,-0.15285269670245374,-0.12194946577576941,0.05879701967980353,-0.0024023169220290124,-0.04556830525702667,9.347520683212079e-05,0.0020508439782205997,-0.026044206529192718,0.013196952376737592,0.07827199067671407,0.08819695274647701,-0.13964201585739452,-0.1511806688103049,-0.1410553093494534,-0.12518498661324956,-0.09592951905409719,-0.07012453146609733,-0.03412410183750465,-0.004567655120787779,0.01808983602609343,0.030832323202261258,0.0971953748643351,0.04235221777137098,0.04972612009313649,0.05708234116388916,0.06880644796517907,0.10282106399380722,0.1083916516888635,0.10682715673538716,0.07189947325022769,0.004175722955519563,-0.05760343564728049,-0.10513833458565701,-0.029676684303843178,0.0641085542334003,0.04670254544692248,0.02932038146564135,0.013582151118619967,0.0007025872356501573,-0.008080736199799946,-0.012133724281704526,-0.010882278034935437,-0.004262060516092576,0.006234740944446348,0.018478681720421407,0.03130583694427089,0.049465869943725836,0.03599655124182188,0.028294568881431278,0.030117614128135625,0.030977950340295417,0.02979016952555122,0.0327861487956914,0.09015319869110246
H_24R,0.025325751984063567,0.27798753942771603,-0.01983382082427044,0.09371432364553342,0.1609773026790102,1.0,-0.06353054568198804,-0.02111530699814858,-0.02188252246106094,0.00015009662373212864,-0.021917029754627827,5.7079117331658854e-05,0.003698755390052378,-0.00896854456881391,0.01111883729472196,0.01696022427647726,0.0017866052180924227,0.011777257966057714,-0.0069656360221189255,-0.008381198167521916,-0.004555029502054983,0.0020707028169859587,-0.0010420061040686771,0.03271956720084393,0.003080689897974422,0.01173694009616872,0.024281576572572156,-0.014989496225533794,-0.01759584696332998,0.041869175576058244,-0.0063375987093280215,-0.03941537024732087,0.012349414494871713,-0.013207529649317162,-0.012053358579628826,-0.0027665641579990995,0.00487104221237979,0.003933297809700175,0.027952188076630444,0.06496080971227025,0.021704721295796762,0.014676626711183484,0.010441251560361771,0.0018870609070469637,-0.0026169385959924,-0.0075608056815357075,-0.010148021867198657,-0.012628920385180318,-0.014983983734891205,-0.014182549618906139,-0.007930417838664234,-0.011543569650303984,-0.014353158850008577,-0.013042687250818868,-0.01017146337252194,-0.00775532911565661,0.0043551799358321035,-0.015724110589706367,0.019432842787650645,0.016903506942027427,0.015404572793009105,0.014351542888686692,0.014621114007571703,0.01565056614051083,0.017241717111071777,0.01854176911878201,0.01931884092364435,0.019000497848890425,0.017362619377562512,0.015303803978687932,0.007837990436207427,0.0006466910967684446,-0.0010055200883177405,-0.002616136898177272,-0.0007908982311026967,-0.0013223673668160969,0.0026078159605069724,0.026402312592915506
PRES,0.0060698943763495,0.1500764737700436,-0.09362127521473079,-0.7567419129239605,0.1923201880113725,-0.06353054568198804,1.0,-0.7941795181136719,0.3110099729198672,-0.7589073779523421,0.2972809128234039,0.08839099788980163,0.10826423954884844,-0.22353716933298945,0.0461439771478985,0.024501449512372712,-0.04592883107999718,-0.07328479918851327,-0.06286890685961023,0.04439201223938473,0.00204468515150828,-0.05430618554459796,-0.06472603794466825,-0.1699545533989531,-0.11032038864839597,-0.15683299705377812,-0.0002739119794921632,-0.0044992297680688,-0.007258145119809396,-0.008607662161181898,-0.005185565563933942,0.011049978708894907,0.014585315935043643,0.0016342003244159567,-0.006688844145892562,0.017416522241430706,-0.0016455305312252692,-0.021671113196307254,-0.036151034670888614,-0.04108580461255111,-0.03837686657803243,-0.028609610207653496,-0.01719435548396479,-0.0031265864428434587,0.010758278784847556,-0.012261335225408915,0.019915366322959836,0.02316474741721986,0.018902849663297857,0.011437013967133744,-0.012415401435251975,-0.006822506748229489,0.005946019326729069,0.019244270147793126,0.030042443083896295,0.035864975718554376,0.03187287630436865,0.014440001163156496,0.006932249214322353,0.007474909898073042,0.007331420183677935,0.006273252986246351,0.0042659899040416475,0.0014697814374682728,-0.0016815438149052678,-0.0046636921583538046,-0.00688548233227292,-0.007914472841598736,-0.0075432352810176255,-0.005754924169634695,0.005399515871727346,0.0025713198601747486,-0.002020106851279603,-0.0060798922693113345,-0.006850720045818592,-0.004408273971201534,-0.0026477847435575205,0.005272137443985338
TEMP,-0.045326626203383596,-0.23261165312671392,0.26800144525876823,0.7629064331001116,-0.48523945551176245,-0.02111530699814858,-0.7941795181136719,1.0,-0.055249195287008473,0.9172019473543794,-0.26399457024594825,-0.0979404997739702,-0.05422236590441802,0.05114647550333591,-0.031078694932567895,-0.01094224863827611,0.09301107660635091,0.12841361504163135,0.04827057057808779,-0.009413666723346977,0.01259922976684217,0.03237642942133477,0.05296013879330484,0.20485771444073916,0.16441232888597992,0.15316245267808545,-0.010230641337361492,0.006877065663853454,0.017700475882989047,-0.005748688604050032,0.0010671068412143627,0.001966821058159046,-0.011504451747035151,-0.04222691328078443,-0.048843524535544754,0.07131468560498781,0.08138380325954359,0.0820147136143198,0.07353619733080052,0.05793298964713483,0.04296771754014821,0.023612904715279447,0.008471023979728905,-0.004433697466863007,-0.011772106114219728,-0.054895804931832874,-0.018482270185249984,-0.023890282219599965,-0.029648092931692002,-0.03661111914282983,-0.059373123446961204,-0.06306402014739765,-0.06310089024786829,-0.04459204013451039,-0.01185502095171947,0.021669986077875666,0.049731841913643694,-0.03415115122027542,-0.037705873335617965,-0.02886294602965519,-0.019627894852531177,-0.01084583660789846,-0.0032894657287810894,0.0023012287225705605,0.005283830931126401,0.005247871468663228,0.0021736258589893044,-0.0031412080908603114,-0.009666652809977581,-0.016811536385360103,-0.03693335934420186,-0.028535266938757783,-0.021526244926026932,-0.020047693069970916,-0.02045565719720062,-0.021144661323520487,-0.02218053614576405,-0.050334956195237944
WDSE,-0.03763826083314955,0.010026742728190258,0.1749135668583233,-0.1971834916896187,-0.2022948220923506,-0.02188252246106094,0.3110099729198672,-0.055249195287008473,1.0,-0.0939400686140927,0.3442899762798466,0.06620638548759808,0.06899402805629304,-0.49302941228504665,-0.01129559542805905,-0.005103746747117997,-0.0009893651315992732,0.0012377780473819507,-0.029457677077744153,0.0363011378678669,-0.022498167173770685,-0.06112093038287705,-0.058309610125804504,0.015112884185883111,0.023110831745308744,-0.04005671937528964,0.028140798864897735,0.016010502924651702,0.016015199481831673,-0.03108552538052073,-0.03239618888390118,-0.004978788745872807,0.008786805474128792,-0.04769779513822149,-0.060451215836849904,0.05327658004103289,0.07760189960131736,0.1027571350586288,0.10582662433678068,0.09554232410596351,0.07950529631711466,0.05612492183587667,0.028319561275847886,0.0028652593975825006,-0.006801212306290299,-0.06708989990493455,-0.016545839855900014,-0.02417444790063134,-0.03316298671585472,-0.04520166141765242,-0.07499790177500436,-0.07697982428066354,-0.07496702605952915,-0.0651277862118366,-0.03789634073263663,0.0037946498164716687,0.025025716263865443,-0.003981913712298665,-0.02953554184557833,-0.01998463158805307,-0.009334728510772574,0.00206810950954024,0.013037275133407413,0.02250844400784809,0.029404333899914235,0.03315057987515694,0.03296123945795395,0.029242323360710972,0.02324607495858424,0.01529489981645704,-0.029584970823164494,-0.03043757544972446,-0.028926970529244485,-0.03441308635123341,-0.03257154641695427,-0.031030011585566297,-0.02676076949909878,-0.042946096144963794
comfort,-0.04106979611210379,-0.19207873389599742,0.14803860937767532,0.8255421959127596,-0.3155345808356489,0.00015009662373212864,-0.7589073779523421,0.9172019473543794,-0.0939400686140927,1.0,-0.2366317026477843,-0.08897110701617801,-0.05633275386642458,0.07035970788424263,-0.036743457507540475,-0.017530160794437193,0.07227289694020007,0.10250939404399248,0.06424609775630546,-0.011378869035051208,0.016678907555883082,0.0431879039755183,0.05136099466604139,0.17178540531237566,0.1294163437179632,0.13037358800261675,-0.0036003543713623866,0.008490129464970183,0.010952618032951755,-0.008771787163785644,-0.006213658815685425,0.01236693573520109,-0.013097711821687959,-0.019042011438768616,-0.02381512966773718,0.03163526981895909,0.035345262326185886,0.03991645965148336,0.03584674813443319,0.029768882369364983,0.022916410460046017,0.018341620567360314,0.014745408342802939,0.010673262562529744,0.006256307777607607,-0.03450234087052278,0.002108886792095086,-0.0014460454812014265,-0.00601597890903252,-0.012292959733124454,-0.040941914750277454,-0.048057802018237825,-0.04834487029092819,-0.02812601932203564,-0.015261468254355363,0.006915772201956109,0.02314972630079103,-0.04950935053050038,-0.03717389642673109,-0.03225342763548991,-0.026799269197844505,-0.021165680492907905,-0.01611619569089588,-0.012191909177985563,-0.009673226400221823,-0.008911863905695814,-0.009920720519625911,-0.01179758806869747,-0.014194162645102083,-0.01707738623228067,-0.03754311915368608,-0.028849810761367795,-0.022742124314874677,-0.021533678457463235,-0.022851826927331637,-0.022415816316443734,-0.022842843316861015,-0.04307830836582297
