station,station_coor,distance,near
1,"[25.0408578889, 121.567904444]",1482.621608403052,False
2,"[25.041254, 121.55742]",604.5725969240484,True
3,"[25.0377972222, 121.565169444]",1144.0812273624679,False
4,"[25.0360361111, 121.562325]",858.0628855803957,True
5,"[25.0365638889, 121.5686639]",1491.9731785181439,False
6,"[25.034047, 121.565973]",1260.4155013704953,False
7,"[25.0330388889, 121.565619444]",1259.4110012819617,False
8,"[25.0352138889, 121.563688889]",1007.4887684287901,False
9,"[25.031785, 121.57448]",2153.3545904098123,False
10,"[25.0286611111, 121.566116667]",1536.2088754073056,False
11,"[25.034937, 121.55762]",436.07497455544797,True
12,"[25.026679, 121.561747]",1384.8087439877488,False
13,"[25.03809, 121.58367]",3006.3841869477806,False
14,"[25.06424, 121.54037]",3332.1719601756217,False
16,"[25.036084, 121.579135]",2548.0277327001627,False
17,"[25.05862, 121.55514]",2421.064959378165,False
18,"[25.049408, 121.55261]",1398.9628858121312,False
19,"[25.02863, 121.56981]",1850.3544365573769,False
21,"[25.057985, 121.548982]",2397.879737670498,False
22,"[25.048824, 121.57845]",2811.020331043921,False
23,"[25.055074, 121.602798]",5329.13074482285,False
24,"[25.03293, 121.53747]",1708.4989250501633,False
25,"[25.04543, 121.57205]",2064.6756243958994,False
26,"[25.050142, 121.592375]",4151.029232907413,False
27,"[25.05469, 121.61669]",6632.217236504887,False
28,"[25.04814, 121.57467]",2442.0934039243793,False
29,"[25.03164, 121.52655]",2812.295553788554,False
30,"[25.017054, 121.544352]",2403.424774601438,False
31,"[25.022413, 121.53456]",2523.4283816943953,False
32,"[25.023884, 121.553161]",1446.5541035426666,False
33,"[25.04878, 121.56087]",1500.1485237623856,False
34,"[25.058369, 121.532934]",3186.540292513915,False
35,"[25.059978, 121.533302]",3299.421016853652,False
36,"[25.02101, 121.54153]",2157.8105990118797,False
37,"[25.0337, 121.528988]",2530.472727616097,False
38,"[25.026603, 121.52944]",2712.5574177287826,False
39,"[25.058, 121.61422]",6518.4909832766425,False
40,"[25.04287, 121.5864]",3345.3597308800286,False
41,"[25.047425, 121.613706]",6142.147880371859,False
42,"[25.04431, 121.58174]",2927.902420416524,False
43,"[25.035639, 121.614154]",6076.126242529523,False
44,"[25.05973, 121.616187]",6773.465776798992,False
45,"[25.01476, 121.534538]",3136.581979933955,False
46,"[25.056504, 121.611389]",6192.775634195353,False
47,"[25.042275, 121.533939]",2094.622779416841,False
48,"[25.05247, 121.608202]",5742.524292759521,False
49,"[25.040901, 121.548252]",720.5507493185199,True
50,"[25.062002, 121.560186]",2865.47012940244,False
51,"[25.065031, 121.536775]",3572.339416322303,False
52,"[25.054761, 121.536925]",2619.9815306994524,False
53,"[25.044781, 121.536609]",1947.36690070758,False
54,"[25.028798, 121.538073]",1826.6387234165388,False
55,"[25.049505, 121.549408]",1473.9357622019043,False
56,"[25.038954, 121.522334]",3184.367953204322,False
57,"[25.026217, 121.53519]",2223.2899760058367,False
58,"[25.045267, 121.5222]",3323.025022986158,False
59,"[25.052227, 121.525805]",3301.531940051344,False
