station,station_coor,distance
1,"[25.0408578889, 121.567904444]",5084.890730528577
2,"[25.041254, 121.55742]",5100.611871579722
3,"[25.0377972222, 121.565169444]",5419.601624981938
4,"[25.0360361111, 121.562325]",5624.471465083529
5,"[25.0365638889, 121.5686639]",5565.713575223625
6,"[25.034047, 121.565973]",5836.686514148601
7,"[25.0330388889, 121.565619444]",5948.606627462313
8,"[25.0352138889, 121.563688889]",5709.691379426401
9,"[25.031785, 121.57448]",6154.719197388898
10,"[25.0286611111, 121.566116667]",6435.673998591229
11,"[25.034937, 121.55762]",5792.302034153291
12,"[25.026679, 121.561747]",6666.56258031235
13,"[25.03809, 121.58367]",5689.056556345817
14,"[25.06424, 121.54037]",3543.5524518083444
16,"[25.036084, 121.579135]",5775.448122371396
17,"[25.05862, 121.55514]",3275.075006158116
18,"[25.049408, 121.55261]",4328.035295384069
19,"[25.02863, 121.56981]",6453.401053291535
21,"[25.057985, 121.548982]",3584.6296040071156
22,"[25.048824, 121.57845]",4391.276302507536
23,"[25.055074, 121.602798]",5132.650470889563
24,"[25.03293, 121.53747]",6595.960766090572
25,"[25.04543, 121.57205]",4618.004828102633
26,"[25.050142, 121.592375]",4868.157832729547
27,"[25.05469, 121.61669]",6253.983057907768
28,"[25.04814, 121.57467]",4367.999538162783
29,"[25.03164, 121.52655]",7256.756836334116
30,"[25.017054, 121.544352]",8014.597806442438
31,"[25.022413, 121.53456]",7781.907113089104
32,"[25.023884, 121.553161]",7076.741088402088
33,"[25.04878, 121.56087]",4224.18558279168
34,"[25.058369, 121.532934]",4535.814496535031
35,"[25.059978, 121.533302]",4386.6775436519465
36,"[25.02101, 121.54153]",7676.095138486812
37,"[25.0337, 121.528988]",6931.753527345626
38,"[25.026603, 121.52944]",7590.2886132621015
39,"[25.058, 121.61422]",5842.734299857002
40,"[25.04287, 121.5864]",5291.776924449521
41,"[25.047425, 121.613706]",6517.61401029283
42,"[25.04431, 121.58174]",4971.779144227759
43,"[25.035639, 121.614154]",7485.866385735455
44,"[25.05973, 121.616187]",5910.713652649491
45,"[25.01476, 121.534538]",8569.236065986572
46,"[25.056504, 121.611389]",5701.289243645051
47,"[25.042275, 121.533939]",5859.479446472468
48,"[25.05247, 121.608202]",5730.51888596831
49,"[25.040901, 121.548252]",5363.8207478767745
50,"[25.062002, 121.560186]",2780.2239085015394
51,"[25.065031, 121.536775]",3754.0452375203986
52,"[25.054761, 121.536925]",4557.618708165916
53,"[25.044781, 121.536609]",5479.974394551411
54,"[25.028798, 121.538073]",6989.709266124003
55,"[25.049505, 121.549408]",4425.490304156986
56,"[25.038954, 121.522334]",6848.7555176840615
57,"[25.026217, 121.53519]",7369.745748064289
58,"[25.045267, 121.5222]",6331.407316445072
59,"[25.052227, 121.525805]",5526.833274248109
60,"[25.064317, 121.533487]",4062.6622132906346
61,"[25.0131, 121.539723]",8568.900259690108
62,"[25.026827, 121.520258]",8053.406385183544
63,"[25.037569, 121.545632]",5801.304642572702
64,"[25.037773, 121.517029]",7296.959565690948
65,"[25.022725, 121.502708]",9506.02575952234
66,"[25.007528, 121.537188]",9236.923225417868
67,"[25.042973, 121.516428]",6921.230518824777
68,"[25.025865, 121.506536]",8988.923671444065
69,"[24.999837, 121.547778]",9804.564460497131
70,"[25.032752, 121.561645]",5993.148459098359
71,"[25.032985, 121.554204]",6062.493110298894
72,"[25.048611, 121.529346]",5572.300926715428
73,"[25.072228, 121.510195]",5793.493703513403
74,"[25.033817, 121.530547]",6838.552781674358
75,"[25.0300508, 121.557635]",6330.736906415278
76,"[25.056387, 121.527522]",5086.9184246837285
77,"[25.059147, 121.56297]",3056.2238428580476
78,"[25.071824, 121.519287]",4934.175759953314
79,"[25.061285, 121.520205]",5357.529422311884
80,"[25.02751, 121.495869]",9606.555385700967
81,"[25.020547, 121.528552]",8227.997952794514
82,"[25.041778, 121.508693]",7584.117215628464
83,"[25.033344, 121.534236]",6701.205635262267
84,"[25.029705, 121.502899]",8927.90404693817
85,"[25.033362, 121.54911]",6139.070805085526
86,"[25.062344, 121.545138]",3383.1312147896447
87,"[25.033078, 121.543057]",6359.923947177342
88,"[25.032922, 121.57087]",5986.000411524711
89,"[25.027323, 121.516385]",8236.301847620756
90,"[25.037783, 121.501708]",8407.540878197378
91,"[25.070629, 121.523268]",4607.2384233407065
92,"[25.046618, 121.507169]",7364.148293229442
93,"[25.023877, 121.569836]",6980.971952509276
94,"[24.993254, 121.541059]",10660.934952220548
95,"[25.023393, 121.497679]",9797.023583999673
96,"[25.061567, 121.566558]",2778.4244504562807
97,"[25.082825, 121.524721]",4128.321371073624
98,"[24.999378, 121.540197]",10021.368959353913
99,"[25.057866, 121.520711]",5524.549367900883
100,"[25.045753, 121.530697]",5732.310389222639
101,"[25.043668, 121.528487]",6051.99608176923
102,"[25.02043, 121.525322]",8391.63063107423
103,"[25.033639, 121.503028]",8614.242778684848
104,"[25.004023, 121.54074]",9508.261681071452
105,"[25.044412, 121.505409]",7654.008403679191
106,"[25.032932, 121.497674]",9067.27270728893
107,"[25.036402, 121.509422]",7936.795106333035
108,"[25.073306, 121.515843]",5213.7651033739585
109,"[25.071606, 121.530805]",3869.339471505717
110,"[25.086376, 121.560888]",465.70105574680747
111,"[25.040184, 121.543497]",5610.7467861823825
112,"[25.137456, 121.503124]",8456.512600913038
113,"[25.037724, 121.561178]",5445.138841169666
114,"[25.109908, 121.530386]",4388.925465848345
115,"[25.048222, 121.520526]",6219.1632833824615
116,"[25.096122, 121.530215]",3710.5680740675753
117,"[25.132581, 121.498618]",8460.198974443347
118,"[25.136929, 121.499152]",8719.893762241207
119,"[25.08418, 121.555116]",1078.9302815689834
120,"[25.035479, 121.50026]",8684.85702027788
121,"[25.05298, 121.540568]",4498.062961594996
122,"[25.079666, 121.57584]",1290.7417756378834
123,"[25.116325, 121.534136]",4577.292873932541
124,"[25.115863, 121.518163]",5776.053034740908
125,"[25.038609, 121.498495]",8600.195987401974
126,"[25.022073, 121.548336]",7373.732893800514
127,"[25.073277, 121.619521]",5635.868567196561
128,"[25.026808, 121.546726]",6905.682191576789
129,"[25.078424, 121.58456]",2120.062905210693
130,"[25.031445, 121.519411]",7686.789089291723
131,"[25.079322, 121.568688]",863.6788035150158
132,"[25.01603085, 121.5331757]",8489.471848510182
133,"[25.111839, 121.525888]",4881.958035952962
134,"[25.10336, 121.522629]",4705.799143966304
135,"[25.114513, 121.515677]",5903.899755018693
136,"[25.117457, 121.51668]",5999.66824217624
137,"[25.137976, 121.493066]",9269.188614221839
138,"[25.040558, 121.575372]",5208.136683732623
139,"[25.054501, 121.510549]",6582.596211891229
140,"[25.063404, 121.512909]",5889.036944293699
