,category,name,address,latitude,longtitude
0,hospital,b'\xe9\x83\xb5\xe6\x94\xbf\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe4\xb8\xad\xe6\xad\xa3\xe5\x8d\x80\xe7\xa6\x8f\xe5\xb7\x9e\xe8\xa1\x9714\xe8\x99\x9f',25.0285943,121.5188268
1,hospital,b'\xe5\x9c\x8b\xe7\xab\x8b\xe5\x8f\xb0\xe7\x81\xa3\xe5\xa4\xa7\xe5\xad\xb8\xe9\x86\xab\xe5\xad\xb8\xe9\x99\xa2\xe9\x99\x84\xe8\xa8\xad\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe4\xb8\xad\xe6\xad\xa3\xe5\x8d\x80\xe4\xb8\xad\xe5\xb1\xb1\xe5\x8d\x97\xe8\xb7\xaf7\xe8\x99\x9f',25.0409785,121.5191987
2,hospital,b'\xe5\x9c\x8b\xe7\xab\x8b\xe5\x8f\xb0\xe7\x81\xa3\xe5\xa4\xa7\xe5\xad\xb8\xe9\x86\xab\xe5\xad\xb8\xe9\x99\xa2\xe9\x99\x84\xe8\xa8\xad\xe9\x86\xab\xe9\x99\xa2_1',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe4\xb8\xad\xe6\xad\xa3\xe5\x8d\x80\xe5\xb8\xb8\xe5\xbe\xb7\xe8\xa1\x971\xe8\x99\x9f',25.0408849,121.5178933
3,hospital,b'\xe5\x9c\x8b\xe7\xab\x8b\xe8\x87\xba\xe7\x81\xa3\xe5\xa4\xa7\xe5\xad\xb8\xe9\x86\xab\xe5\xad\xb8\xe9\x99\xa2\xe9\x99\x84\xe8\xa8\xad\xe9\x86\xab\xe9\x99\xa2\xe5\x85\x92\xe7\xab\xa5\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe4\xb8\xad\xe6\xad\xa3\xe5\x8d\x80\xe4\xb8\xad\xe5\xb1\xb1\xe5\x8d\x97\xe8\xb7\xaf8\xe8\x99\x9f',25.0443271,121.518583
4,hospital,b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe7\xab\x8b\xe8\x81\xaf\xe5\x90\x88\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\xa4\xa7\xe5\x90\x8c\xe5\x8d\x80\xe9\x84\xad\xe5\xb7\x9e\xe8\xb7\xaf145\xe8\x99\x9f',25.0509696,121.5093209
5,hospital,b'\xe6\xb3\xb0\xe5\xae\x89\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe4\xb8\xad\xe5\xb1\xb1\xe5\x8d\x80\xe6\xb0\x91\xe6\xac\x8a\xe6\x9d\xb1\xe8\xb7\xaf\xe4\xba\x8c\xe6\xae\xb592\xe5\xb7\xb72\xe4\xb9\x8b1\xe8\x99\x9f',25.0614683,121.5315551
6,hospital,b'\xe5\x8d\x94\xe5\x92\x8c\xe5\xa9\xa6\xe5\xa5\xb3\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe4\xb8\xad\xe5\xb1\xb1\xe5\x8d\x80\xe6\x9d\xbe\xe6\xb1\x9f\xe8\xb7\xaf85\xe5\xb7\xb75\xe8\x99\x9f',25.0503253,121.5339024
7,hospital,b'\xe5\x8f\xb0\xe7\x81\xa3\xe5\x9f\xba\xe7\x9d\xa3\xe9\x95\xb7\xe8\x80\x81\xe6\x95\x99\xe6\x9c\x83\xe9\xa6\xac\xe5\x81\x95\xe9\x86\xab\xe7\x99\x82\xe8\xb2\xa1\xe5\x9c\x98\xe6\xb3\x95\xe4\xba\xba\xe9\xa6\xac\xe5\x81\x95\xe7\xb4\x80\xe5\xbf\xb5\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe4\xb8\xad\xe5\xb1\xb1\xe5\x8d\x80\xe4\xb8\xad\xe5\xb1\xb1\xe5\x8c\x97\xe8\xb7\xaf\xe4\xba\x8c\xe6\xae\xb592\xe8\x99\x9f',25.0588322,121.5223675
8,hospital,b'\xe9\x95\xb7\xe5\xba\x9a\xe9\x86\xab\xe7\x99\x82\xe8\xb2\xa1\xe5\x9c\x98\xe6\xb3\x95\xe4\xba\xba\xe5\x8f\xb0\xe5\x8c\x97\xe9\x95\xb7\xe5\xba\x9a\xe7\xb4\x80\xe5\xbf\xb5\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe6\x9d\xbe\xe5\xb1\xb1\xe5\x8d\x80\xe6\x95\xa6\xe5\x8c\x96\xe5\x8c\x97\xe8\xb7\xaf199\xe8\x99\x9f',25.0556264,121.5496349
9,hospital,b'\xe9\x95\xb7\xe5\xba\x9a\xe9\x86\xab\xe7\x99\x82\xe8\xb2\xa1\xe5\x9c\x98\xe6\xb3\x95\xe4\xba\xba\xe5\x8f\xb0\xe5\x8c\x97\xe9\x95\xb7\xe5\xba\x9a\xe7\xb4\x80\xe5\xbf\xb5\xe9\x86\xab\xe9\x99\xa2_1',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe6\x9d\xbe\xe5\xb1\xb1\xe5\x8d\x80\xe6\x95\xa6\xe5\x8c\x96\xe5\x8c\x97\xe8\xb7\xaf199\xe5\xb7\xb76\xe8\x99\x9f',25.0562081,121.5507817
