sno,cat_hospital_500,cat_college_500,cat_train_500,cat_hospital_1000,cat_college_1000,cat_train_1000
1,False,False,False,True,False,False
2,True,False,False,True,False,False
3,False,False,False,False,False,False
4,False,False,False,True,False,False
5,False,False,False,False,False,False
6,False,False,False,True,False,False
7,False,False,False,True,True,False
8,False,False,False,True,False,False
9,False,False,False,False,False,False
10,True,False,False,True,True,False
11,True,False,False,True,False,False
12,True,True,False,True,True,False
13,False,False,False,False,False,False
14,False,False,False,True,False,False
15,False,False,False,False,False,False
16,False,False,False,False,False,False
17,False,False,False,True,False,False
18,False,False,False,True,False,False
19,False,False,False,True,True,False
20,False,False,False,False,False,False
21,True,False,False,True,False,False
22,False,False,True,False,False,True
23,False,False,True,False,False,True
24,False,False,False,False,False,False
25,False,False,False,True,False,True
26,False,False,False,False,False,False
27,False,False,False,False,False,True
28,False,False,True,True,False,True
29,False,False,False,True,True,False
30,True,False,False,True,True,False
31,False,False,False,True,True,False
32,False,False,False,False,True,False
33,True,False,False,True,False,False
34,True,False,False,True,False,False
35,True,False,False,True,False,False
36,False,True,False,True,True,False
37,False,False,False,False,True,False
38,False,True,False,False,True,False
39,False,False,False,False,False,True
40,False,False,False,False,False,False
41,False,False,False,False,False,True
42,False,False,False,False,False,True
43,False,True,False,False,True,False
44,False,False,False,False,False,False
45,False,True,False,True,True,False
46,False,False,False,False,False,True
47,False,True,False,True,True,False
48,False,False,True,False,False,True
49,True,False,False,True,False,False
50,False,False,False,True,False,False
51,False,False,False,True,False,False
52,False,False,False,True,False,False
53,False,True,False,True,True,False
54,False,False,False,False,True,False
55,True,False,False,True,False,False
56,True,True,False,True,True,False
57,False,False,False,False,True,False
58,True,False,False,True,True,True
59,False,False,False,True,False,False
60,True,False,False,True,False,False
61,False,True,False,True,True,False
62,True,False,False,True,True,False
63,True,False,False,True,False,False
64,True,True,False,True,True,False
65,False,False,False,True,False,False
66,False,False,False,False,True,False
67,True,False,False,True,True,True
68,True,False,False,True,False,False
69,False,False,False,False,True,False
70,False,False,False,True,True,False
71,True,False,False,True,False,False
72,True,False,False,True,True,False
73,False,False,False,False,False,False
74,False,False,False,False,True,False
75,False,False,False,True,True,False
76,False,False,False,True,False,False
77,False,False,False,True,False,False
78,False,False,False,False,True,False
79,True,False,False,True,True,False
80,True,False,False,True,False,True
81,True,False,False,True,True,False
82,False,False,False,True,True,False
83,False,False,False,False,False,False
84,False,False,True,True,False,True
85,True,False,False,True,False,False
86,False,False,False,True,False,False
87,False,False,False,True,False,False
