公私立,體制,學校名稱,學校地址,學校網址
公立,一般大學,國立政治大學,臺北市文山區指南路2段64號,http://www.nccu.edu.tw
公立,一般大學,國立臺灣大學,臺北市大安區羅斯福路4段1號,http://www.ntu.edu.tw
公立,一般大學,國立臺灣師範大學,臺北市大安區和平東路1段162號,http://www.ntnu.edu.tw
公立,一般大學,國立陽明大學,臺北市北投區立農街2段155號,http://www.ym.edu.tw
公立,一般大學,國立臺北藝術大學,臺北市北投區學園路1號,http://www.tnua.edu.tw
公立,一般大學,國立臺北教育大學,臺北市和平東路2段134號,http://www.ntue.edu.tw
公立,一般大學,臺北市立大學,臺北市中正區愛國西路1號,http://www.utaipei.edu.tw/
公立,技專校院,國立臺灣科技大學,臺北市大安區基隆路四段43號,https://www.ntust.edu.tw/home.php
公立,技專校院,國立臺北科技大學,臺北市忠孝東路三段1號,http://WWW.NTUT.EDU.TW/
公立,技專校院,國立臺北護理健康大學,臺北市北投區明德路365號,http://www.ntunhs.edu.tw/
公立,技專校院,國立臺北商業大學,臺北市中正區濟南路一段321號,http://WWW.NTUB.EDU.TW
公立,技專校院,國立臺灣戲曲學院,臺北市內湖區內湖路二段177號,http://WWW.TCPA.EDU.TW
私立,一般大學,東吳大學,臺北市士林區臨溪路70號,http://www.scu.edu.tw
私立,一般大學,中國文化大學,臺北市士林區華岡路55號,http://www.pccu.edu.tw
私立,一般大學,世新大學,臺北市文山區木柵路1段17巷1號,http://www.shu.edu.tw
私立,一般大學,銘傳大學,臺北市士林區中山北路5段250號,http://web.mcu.edu.tw/
私立,一般大學,實踐大學,臺北市中山區大直街70號,http://www.usc.edu.tw
私立,一般大學,大同大學,臺北市中山北路3段40號,http://www.ttu.edu.tw
私立,一般大學,臺北醫學大學,臺北市信義區吳興街250號,http://www.tmu.edu.tw
私立,一般大學,康寧學校財團法人康寧大學,台北市內湖區康寧路三段75巷137號,http://www.ukn.edu.tw
私立,技專校院,中國科技大學,臺北市文山區興隆路三段56號,http://www.cute.edu.tw/
私立,技專校院,德明財經科技大學,臺北市內湖區環山路一段56號,http://WWW.TAKMING.EDU.TW/
私立,技專校院,中華學校財團法人中華科技大學,臺北市南港區研究院路三段245號,http://www.cust.edu.tw
私立,技專校院,城市學校財團法人臺北城市科技大學,臺北市北投區學園路2號,http://www.tpcu.edu.tw/bin/home.php
私立,宗教研修學院,學校財團法人中華浸信會基督教台灣浸會神學院,臺北市吳興街394巷1號,http://www.tbts.edu.tw/
私立,宗教研修學院,台神學校財團法人台灣神學研究學院,台北市士林區仰德大道二段二巷20號,http://www.tgst.edu.tw
