序號,醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話
1,101090517,臺北市立聯合醫院(中興院區),臺北市大同區鄭州路145號,02-25523234
2,101090517,臺北市立聯合醫院(仁愛院區),臺北市大安區仁愛路四段10號,02-27093600
3,101090517,臺北市立聯合醫院(和平婦幼院區),臺北市中正區福州街12號,02-23916470
4,101090517,臺北市立聯合醫院(忠孝院區),臺北市南港區同德路87號,02-27861288
5,101090517,臺北市立聯合醫院(陽明院區),臺北市士林區雨聲街105號,02-28353456
6,101090517,臺北市立聯合醫院(松德院區),臺北市信義區松德路309號,02-27263141
7,101090517,臺北市立聯合醫院(林森中醫昆明院區),臺北市萬華區昆明街100號,02-23703739
8,401180014,國立臺灣大學醫學院附設醫院,臺北市中正區中山南路7號,02-23123456
9,401190010,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區內江街87號,02-23717101?
10,501010019,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,02-27642151
11,501110514,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路2段325號,02-87923311
12,501160014,三軍總醫院北投分院附設民眾診療服務處,臺北市北投區中和街250號,02-28932743
13,601160016,臺北榮民總醫院,臺北市北投區石牌路二段201號,02-28712121
14,701160518,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,02-28587000
15,901020013,中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,02-27081166
16,1101010012,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,02-27135211
17,1101010021,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路2段424號,02-27718151
18,1101020018,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段280號,02-27082121
19,1101020027,中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路四段77號,02-27510221
20,1101020036,宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路四段61號,02-27713161
21,1101100011,臺灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,02-25433535
22,1101110026,康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,02-26345500
23,1101150011,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,02-28332211
24,1101160017,振興醫療財團法人振興醫院,臺北市北投區振興街45號,02-28264400 
25,1301170017,臺北醫學大學附設醫院,臺北市信義區吳興街252號,02-27372181
26,1301200010,臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,臺北市文山區興隆路三段111號,02-29307930
27,1501010010,博仁綜合醫院,臺北市松山區光復北路66號,02-25786677
