,0
sbi,0.10539091115166437
PrecpHour,0.0
UVI,0.0
td,0.0
HUMD,-0.0
H_24R,0.0
PRES,-0.0
TEMP,0.0
WDSE,-0.0
comfort,0.0
WD_E,-0.0
WD_ENE,-0.0
WD_ESE,-0.0
WD_N,0.0
WD_NE,-0.0
WD_NNE,0.0
WD_NNW,0.0
WD_NW,0.0
WD_S,-0.0
WD_SE,-0.0
WD_SSE,0.0
WD_SSW,0.0
WD_SW,0.0
WD_W,0.0
WD_WNW,0.0
WD_WSW,0.0
wkdy_0,-0.0
wkdy_1,0.0
wkdy_2,0.0
wkdy_3,0.0
wkdy_4,-0.0
wkdy_5,0.0
wkdy_6,-0.0
hrs_0,-0.0
hrs_1,-0.0
hrs_10,0.0
hrs_11,0.0
hrs_12,0.0
hrs_13,0.0
hrs_14,0.0
hrs_15,0.0
hrs_16,-0.0
hrs_17,-0.0
hrs_18,-0.0
hrs_19,-0.0
hrs_2,-0.0
hrs_20,-0.0
hrs_21,-0.0
hrs_22,-0.0
hrs_23,-0.0
hrs_3,-0.0
hrs_4,-0.0
hrs_5,0.0
hrs_6,0.0
hrs_7,0.0
hrs_8,0.0
hrs_9,0.0
holiday,-0.0
lat,0.0
lng,0.0
sbi_1h,0.0
sbi_2h,0.002198938300536292
sbi_3h,0.003500137837950202
sbi_4h,0.0041774398279502785
sbi_5h,0.00547398649296658
sbi_6h,0.00931060606648103
sbi_7h,0.009840595001656467
sbi_8h,0.0011742470145541107
sbi_9h,0.0
sbi_10h,0.0
sbi_11h,0.0
sbi_12h,0.0022195458538723867
sbi_1d,0.016506215712605465
sbi_2d,0.010936683988465978
sbi_3d,0.0
sbi_4d,0.0
sbi_5d,0.00047874832695227366
sbi_6d,0.005549816523120851
sbi_7d,0.0018838916343568996
