sno,ha_rmse,ma_rmse_12,ma_rmse_3,ma_rmse_6,sarima,Lasso ,Ridge ,Random Forest ,Adaboost ,XGBoost,tot
1.0,21.666666666666668,16.11111111111111,10.555555555555555,13.333333333333334,10.0,6.111111111111111,6.111111111111111,6.111111111111111,6.111111111111111,6.666666666666667,180
2.0,20.833333333333336,18.75,16.666666666666664,18.75,18.75,12.5,12.5,12.5,12.5,12.5,48
3.0,22.5,25.0,17.5,20.0,17.5,12.5,12.5,12.5,12.5,12.5,40
4.0,20.0,16.666666666666664,10.0,13.333333333333334,10.0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,60
5.0,20.0,23.333333333333332,16.666666666666664,20.0,16.666666666666664,11.666666666666666,11.666666666666666,11.666666666666666,11.666666666666666,11.666666666666666,60
6.0,21.25,22.5,16.25,18.75,17.5,12.5,12.5,12.5,12.5,12.5,80
7.0,23.75,18.75,12.5,15.0,12.5,8.75,7.5,8.75,8.75,8.75,80
8.0,20.0,18.333333333333332,10.0,15.0,10.0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,60
9.0,20.0,17.5,15.0,15.0,15.0,10.0,10.0,10.0,10.0,10.0,40
10.0,24.074074074074073,25.925925925925924,16.666666666666664,20.37037037037037,16.666666666666664,9.25925925925926,9.25925925925926,9.25925925925926,9.25925925925926,11.11111111111111,54
11.0,24.0,22.0,14.000000000000002,18.0,16.0,10.0,10.0,10.0,10.0,10.0,50
12.0,18.75,18.75,16.666666666666664,16.666666666666664,16.666666666666664,12.5,12.5,12.5,12.5,12.5,48
13.0,25.862068965517242,27.586206896551722,13.793103448275861,20.689655172413794,13.793103448275861,8.620689655172415,6.896551724137931,8.620689655172415,8.620689655172415,8.620689655172415,58
14.0,25.0,28.125,18.75,21.875,18.75,12.5,12.5,12.5,12.5,12.5,32
16.0,18.75,18.75,12.5,16.666666666666664,12.5,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,8.333333333333332,48
17.0,17.647058823529413,17.647058823529413,14.705882352941178,17.647058823529413,17.647058823529413,11.76470588235294,11.76470588235294,11.76470588235294,11.76470588235294,11.76470588235294,34
18.0,15.0,15.0,12.5,12.5,12.5,10.0,7.5,7.5,10.0,7.5,40
19.0,20.0,20.0,16.666666666666664,16.666666666666664,16.666666666666664,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,30
21.0,19.696969696969695,19.696969696969695,13.636363636363635,16.666666666666664,13.636363636363635,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,66
22.0,18.181818181818183,18.181818181818183,15.909090909090908,15.909090909090908,15.909090909090908,11.363636363636363,11.363636363636363,11.363636363636363,11.363636363636363,11.363636363636363,44
23.0,25.0,25.0,15.625,18.75,15.625,9.375,9.375,9.375,12.5,9.375,32
24.0,21.73913043478261,19.565217391304348,17.391304347826086,19.565217391304348,5967063054.347826,13.043478260869565,10.869565217391305,13.043478260869565,10.869565217391305,13.043478260869565,46
25.0,23.333333333333332,26.666666666666668,16.666666666666664,20.0,20.0,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,30
