,count,mean,std,min,25%,50%,75%,max
1,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
2,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
3,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
4,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
5,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
6,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
7,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
8,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
9,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
10,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
11,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
12,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
13,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
14,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
16,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
17,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
18,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
19,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
21,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
22,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
23,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
24,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
25,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
26,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
27,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
29,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
30,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
31,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
32,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
33,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
34,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
35,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
36,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
37,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
38,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
39,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
40,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
41,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
42,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
43,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
44,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
45,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
46,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
48,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
49,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
50,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
51,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
52,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
53,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
54,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
55,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
56,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
57,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
59,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
60,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
61,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
62,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
63,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
64,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
65,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
66,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
67,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
68,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
70,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
71,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
72,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
73,9438.0,71.86829836829837,11.710126169272687,30.0,64.0,72.0,80.0,98.0
74,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
75,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
76,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
77,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
78,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
79,9763.0,66.70756939465328,11.536368610584914,22.0,58.0,69.0,76.0,89.0
80,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
81,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
82,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
83,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
84,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
85,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
86,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
87,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
88,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
89,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
90,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
91,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
92,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
93,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
94,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
95,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
96,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
97,9438.0,71.86829836829837,11.710126169272687,30.0,64.0,72.0,80.0,98.0
98,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
100,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
102,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
103,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
104,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
105,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
107,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
108,9438.0,71.86829836829837,11.710126169272687,30.0,64.0,72.0,80.0,98.0
109,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
110,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
111,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
112,9438.0,69.4169845306209,11.011387056308944,32.0,62.0,69.0,76.0,97.0
113,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
114,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
115,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
116,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
117,9438.0,69.4169845306209,11.011387056308944,32.0,62.0,69.0,76.0,97.0
118,9438.0,69.4169845306209,11.011387056308944,32.0,62.0,69.0,76.0,97.0
119,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
120,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
121,9438.0,66.72367026912481,11.55362768163743,22.0,58.0,69.0,76.0,89.0
122,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
123,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
124,8541.0,75.1689497716895,11.373614023731522,32.0,67.0,76.0,83.0,97.0
125,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
126,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
127,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
128,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
129,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
130,9438.0,75.68743377834286,15.906676313590923,25.0,65.0,78.0,88.0,100.0
131,9438.0,78.33121424030514,15.39894416907998,26.0,67.0,79.0,92.0,100.0
132,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
133,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
134,9438.0,75.32549268912905,11.448990123705457,32.0,67.0,76.0,83.0,97.0
135,9438.0,69.4169845306209,11.011387056308944,32.0,62.0,69.0,76.0,97.0
136,9438.0,69.4169845306209,11.011387056308944,32.0,62.0,69.0,76.0,97.0
137,9438.0,69.4169845306209,11.011387056308944,32.0,62.0,69.0,76.0,97.0
138,9438.0,76.42731510913329,14.116601573601175,21.0,67.0,79.0,88.0,100.0
