,count,mean,std,min,25%,50%,75%,max
1,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
2,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
3,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
4,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
5,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
6,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
7,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
8,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
9,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
10,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
11,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
12,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
13,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
14,9438.0,0.25749629158720067,2.219900028677642,0.0,0.0,0.0,0.0,98.0
16,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
17,9438.0,0.25749629158720067,2.219900028677642,0.0,0.0,0.0,0.0,98.0
18,9438.0,0.25749629158720067,2.219900028677642,0.0,0.0,0.0,0.0,98.0
19,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
21,9438.0,0.25749629158720067,2.219900028677642,0.0,0.0,0.0,0.0,98.0
22,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
23,9438.0,0.2432189023098114,2.146495550970883,0.0,0.0,0.0,0.0,78.5
24,9438.0,0.25749629158720067,2.219900028677642,0.0,0.0,0.0,0.0,98.0
25,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
26,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
27,9438.0,0.2432189023098114,2.146495550970883,0.0,0.0,0.0,0.0,78.5
29,9438.0,0.19539097266369992,1.5405056737922356,0.0,0.0,0.0,0.0,71.5
30,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
31,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
32,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
33,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
34,9438.0,0.25749629158720067,2.219900028677642,0.0,0.0,0.0,0.0,98.0
35,9438.0,0.25749629158720067,2.219900028677642,0.0,0.0,0.0,0.0,98.0
36,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
37,9438.0,0.25749629158720067,2.219900028677642,0.0,0.0,0.0,0.0,98.0
38,9438.0,0.19539097266369992,1.5405056737922356,0.0,0.0,0.0,0.0,71.5
39,9438.0,0.2432189023098114,2.146495550970883,0.0,0.0,0.0,0.0,78.5
40,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
41,9438.0,0.2432189023098114,2.146495550970883,0.0,0.0,0.0,0.0,78.5
42,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
43,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
44,9438.0,0.2432189023098114,2.146495550970883,0.0,0.0,0.0,0.0,78.5
45,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
46,9438.0,0.2432189023098114,2.146495550970883,0.0,0.0,0.0,0.0,78.5
48,9438.0,0.2432189023098114,2.146495550970883,0.0,0.0,0.0,0.0,78.5
49,9438.0,0.256198347107438,2.128716383758133,0.0,0.0,0.0,0.0,119.5
50,9438.0,0.2432189023098114,2.146495550970883,0.0,0.0,0.0,0.0,78.5
51,9438.0,0.25749629158720067,2.219900028677642,0.0,0.0,0.0,0.0,98.0
