,count,mean,std,min,25%,50%,75%,max
1,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
2,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
3,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
4,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
5,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
6,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
7,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
8,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
9,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
10,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
11,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
12,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
13,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
14,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
16,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
17,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
18,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
19,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
21,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
22,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
23,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
24,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
25,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
26,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
27,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
29,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
30,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
31,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
32,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
33,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
34,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
35,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
36,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
37,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
38,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
39,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
40,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
41,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
42,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
43,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
44,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
45,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
46,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
48,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
49,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
50,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
51,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
52,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
53,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
54,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
55,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
56,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
57,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
59,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
60,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
61,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
62,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
63,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
64,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
65,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
66,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
67,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
68,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
70,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
71,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
72,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
73,9438.0,24.419294342021566,5.63388848097333,7.0,20.3,24.8,28.9,36.7
74,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
75,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
76,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
77,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
78,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
79,9763.0,24.51341288538362,5.585585317550735,7.5,20.4,24.9,28.7,37.7
80,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
81,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
82,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
83,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
84,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
85,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
86,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
87,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
88,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
89,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
90,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
91,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
92,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
93,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
94,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
95,9438.0,24.478152150879477,5.804573501775419,7.0,20.2,24.7,28.7,39.0
96,9438.0,24.309726636999372,5.8256595912699645,7.2,20.0,24.5,28.875,38.0
97,9438.0,24.419294342021566,5.63388848097333,7.0,20.3,24.8,28.9,36.7
98,9438.0,23.867551388006007,5.689840774482406,6.9,19.6,24.2,28.0,37.3
100,9438.0,24.420952532316196,5.634013090585358,7.5,20.2,24.7,28.7,37.7
