,count,mean,std,min,25%,50%,75%,max
1,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
2,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
3,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
4,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
5,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
6,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
7,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
8,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
9,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
10,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
11,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
12,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
13,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
14,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
16,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
17,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
18,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
19,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
21,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
22,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
23,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
24,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
25,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
26,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
27,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
29,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
30,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
31,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
32,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
33,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
34,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
35,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
36,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
37,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
38,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
39,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
40,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
41,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
42,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
43,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
44,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
45,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
46,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
48,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
49,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
50,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
51,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
52,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
53,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
54,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
55,9438.0,0.5921063784700162,0.949373726252576,0.0,0.0,0.0,0.83,4.3
