,count,mean,std,min,25%,50%,75%,max
1,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
2,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
3,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
4,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
5,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
6,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
7,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
8,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
9,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
10,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
11,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
12,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
13,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
14,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
16,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
17,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
18,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
19,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
21,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
22,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
23,9438.0,1.1784594193685156,0.890312801679385,0.0,0.4,1.2,1.8,4.7
24,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
25,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
26,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
27,9438.0,1.1784594193685156,0.890312801679385,0.0,0.4,1.2,1.8,4.7
29,9438.0,2.2481457936003446,1.2624869596304995,0.0,1.2,2.1,3.1,8.7
30,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
31,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
32,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
33,9438.0,0.8255880483153263,0.7236780089567016,0.0,0.2,0.7,1.3,4.1
34,9438.0,1.7290156812884059,0.9901735125504653,0.0,0.9,1.7,2.5,6.2
