,result/result_lasso.csv,result/result_ridge.csv,result/result_rf.csv,result_sarima.csv,avg
y_sbi_001,0.0620984392799142,0.06305933362170543,0.06318556144172933,0.10006742833435965,0.060423015951660886
y_sbi_002,0.12264441173718506,0.12337962663038325,0.12670962772422026,0.18744479551834556,0.12255329406939619
y_sbi_003,0.12082652931044739,0.12126742425553497,0.12324497387306968,0.17863724025982636,0.11964774334491708
y_sbi_004,0.061611713814352695,0.06163379343271333,0.06308874751098274,0.10349495788441687,0.06085004236374165
y_sbi_005,0.11714781477967028,0.11667258138761928,0.11854227833199542,0.17384297401346013,0.11554279126216675
y_sbi_006,0.11767021939306861,0.12033692812665076,0.11826757571335009,0.17112983263475012,0.11614345409033563
y_sbi_007,0.08106395441330258,0.0825822946734824,0.08261007610345097,0.12670719532050795,0.07975240662310237
y_sbi_008,0.06285030290234764,0.06232346442103232,0.06424183083995869,0.1047978026532578,0.061331723618333396
y_sbi_009,0.09213527196127316,0.09263242925401194,0.09628534942566198,0.14806838137273204,0.09182839165716075
y_sbi_010,0.09921695968513956,0.09900026166759261,0.10082664127555656,0.1605377388371103,0.09818624410498883
y_sbi_011,0.0928715009273758,0.09422516310984914,0.099145941427139,0.15023573840454296,0.09341408771181327
y_sbi_012,0.1169776471672912,0.11711769579574853,0.11986222700036707,0.17121381007050718,0.11659536113123531
y_sbi_013,0.07870738091358327,0.08086224954151532,0.08368617550462555,0.13214410734210916,0.07899841631928446
y_sbi_014,0.13261740862969248,0.1309920895431556,0.1285392566479569,0.18859768011627037,0.12785117499763446
y_sbi_016,0.0806784004564456,0.0803960132937131,0.08228225396415338,0.1319512027712181,0.0797187243255497
y_sbi_017,0.11428194211321789,0.1140400360780491,0.11159536375429138,0.1765110382707503,0.11149444799517827
y_sbi_018,0.08776621495443834,0.08981917222446487,0.09000343173343103,0.13581266198866065,0.08779324778697419
y_sbi_019,0.12141202781550023,0.12167682273229131,0.12190791168691104,0.1799027135772552,0.11966752567799593
y_sbi_021,0.09347726985305804,0.0933327935541515,0.09292390788864216,0.14198287268463855,0.09164796062611187
y_sbi_022,0.11434099384666065,0.11532617657653822,0.11539539153520444,0.17017092083225488,0.11348663369672626
y_sbi_023,0.10534138757111972,0.10691829790389643,0.10764427285193846,0.16154271097237952,0.10405293640443865
y_sbi_024,0.12019543172019981,0.12021738440358458,0.12369694030996933,0.1902086523196749,0.11917374422723577
y_sbi_025,0.13422025392970047,0.13465568543505096,0.13267995583783354,0.18384930880376052,0.13141656930879916
y_sbi_026,0.13156743658984751,0.13109364938477264,0.1293516548248743,0.22148036773573412,0.12863735300173532
y_sbi_027,0.12992282931958202,0.13130934003232117,0.1314278569111356,0.18854617390813105,0.12867050127535892
y_sbi_029,0.08343422119610581,0.08382488960508912,0.08661709935930506,0.1308110743602328,0.08261265000695597
y_sbi_030,0.07942728051747312,0.0789402146913265,0.07772018230160278,0.13339401418131897,0.07693519362344323
y_sbi_031,0.12480926024847366,0.1252206372108359,0.12710085780972727,0.25064507231686606,0.12378646799190109
y_sbi_032,0.11533522466099032,0.11524053016825675,0.11662720810233602,0.17964555880527747,0.11396896780784183
y_sbi_033,0.08405494496215496,0.08402039509055131,0.08404255456954725,0.1373128813616377,0.0824959450843813
y_sbi_034,0.10734791367652756,0.10793271826909523,0.11165934900870933,0.16162291156673916,0.10739038961487406
y_sbi_035,0.13190462895830762,0.13235920898736242,0.13439735902011601,0.19703667985920528,0.13103886994086886
y_sbi_036,0.10933510867792946,0.1129048490656927,0.11401496187929859,0.16153561766747193,0.10965223211082936
y_sbi_037,0.11390952625567857,0.11406798663731699,0.11580316431151462,0.17709027371719707,0.11268240726187904
y_sbi_038,0.13393975204625017,0.1361154903221423,0.13917649233149676,0.20063818818046808,0.133964905955591
y_sbi_039,0.1110306251665785,0.11136625944608128,0.11276260249504591,0.16409844906958787,0.11044866834485666
y_sbi_040,0.12197111978880303,0.12209717251301834,0.12211385860699273,0.18102652078473985,0.11959245876799918
y_sbi_041,0.10220707199389255,0.10234044064720708,0.10386338730622781,0.15790041449517594,0.10144621252819362
y_sbi_042,0.11620257777014918,0.11898129421809313,0.1215548989368761,0.177469227547014,0.11724165582910845
y_sbi_043,0.07512954949661778,0.07569206564169553,0.0777274196464452,0.11723659831949602,0.0747614243670631
y_sbi_044,0.08925626657947261,0.08918124860253078,0.089398527133296,0.14356793711964333,0.08803080097878196
y_sbi_045,0.15587888073244996,0.15642701360339914,0.1585084614179886,0.23179428513580771,0.15489793005279204
y_sbi_046,0.08594232304667467,0.08660180784839461,0.0850295796927873,0.13488594214615277,0.08356097092030565
y_sbi_048,0.09798600728995546,0.09790945282439724,0.09957102609193487,0.16399572284688874,0.0960980283355016
y_sbi_049,0.12389968174059943,0.12337572733163824,0.12434772294395693,0.18443303029385444,0.12256282497125835
y_sbi_050,0.05740093379228886,0.05787226110985522,0.05882120533477361,0.0910786087686878,0.05714806218732936
y_sbi_051,0.06115788979082757,0.06086243940116937,0.06282847231518761,0.10080274132992993,0.060533812050934596
y_sbi_052,0.10931327471527008,0.10954537099212235,0.10997681591990993,0.1640960632495156,0.108205391342151
y_sbi_053,0.10499391445485386,0.10494083372868052,0.10358670460440116,0.1601680903646937,0.10343175657878846
y_sbi_054,0.13496918069280833,0.13706430494992877,0.1358537750457779,0.20253345408233592,0.1338040576158227
y_sbi_055,0.10206126931832384,0.1023515230527817,0.10373908523457336,0.16499486673678354,0.10109082475472572
y_sbi_056,0.09883344926123365,0.09909188802448575,0.09890770447721484,0.16059274779745122,0.09732309008657178
y_sbi_057,0.09216100244906347,0.09273332459616314,0.09364195474435785,0.13842493214708676,0.09143111061488268
y_sbi_059,0.11617526607574752,0.1161190922287317,0.11825432922453566,0.17471521678599478,0.11544408831295937
y_sbi_060,0.1179884990763717,0.11789248480522543,0.11888088813944506,0.17628623834845125,0.11645853533068469
y_sbi_061,0.1050409269300106,0.10587428378055086,0.10799717863191236,0.15890609681234794,0.10446142041781455
y_sbi_062,0.13342691473475826,0.1358417049148303,0.13944793354725932,0.19046363535803315,0.13461426665042572
y_sbi_063,0.11851257420813334,0.11875617821619643,0.1185819306459502,0.1770228877378201,0.11703436111775575
y_sbi_064,0.09940685382763868,0.09991576886637948,0.09954431429111904,0.14674283071935623,0.09747238730981099
y_sbi_065,0.11644898004563056,0.11604879003768434,0.11428050841777178,0.16984655258645542,0.1134775455710254
y_sbi_066,0.09753224257889695,0.09727335293759636,0.09763017890598709,0.15745142648242472,0.09607147482246725
y_sbi_067,0.118812480026719,0.11817613722133857,0.11960143863764099,0.16607641028998835,0.11690586484236863
y_sbi_068,0.10970035051817274,0.10908049022336255,0.10824285369323527,0.1618992132944598,0.1071939145859694
y_sbi_070,0.12266957079354567,0.12469249408060884,0.12685625356407043,0.18343486447826435,0.1228885451727416
y_sbi_071,0.14266135105299643,0.14411019729228997,0.14491422252013733,0.20194527802869353,0.1418148572631041
y_sbi_072,0.07645501230944819,0.07652381090458005,0.07767157327733643,0.12272238371733911,0.07575777134305559
y_sbi_073,0.07862003401229581,0.07892421428350459,0.07846828683836983,0.1310860782113978,0.07734962970983872
y_sbi_074,0.09962886947582876,0.09965505798723823,0.10136637752801288,0.16454855561930676,0.09878423492209099
y_sbi_075,0.12275438525652396,0.12384583080630522,0.12522158528451457,0.18086734920678546,0.1220584098042668
y_sbi_076,0.09376981326376027,0.09317771575203984,0.09539420943535036,0.15171365252325328,0.09235528311767131
y_sbi_077,0.10223188455426296,0.10289198345057146,0.10299775188430761,0.15828263140407436,0.1012017181541614
y_sbi_078,0.12292255155082926,0.123343729194103,0.12413162454032703,0.18386906545235776,0.12112950257414737
y_sbi_079,0.08076189534056015,0.08072496675477663,0.08153509717082716,,0.07994136227602307
y_sbi_080,0.08974791815415738,0.08986640919516321,0.0918407289697169,0.13809582639671525,0.08948775375215666
y_sbi_081,0.12446410695301564,0.12577904493892375,0.12803355597207516,0.19380869594829742,0.12435321645928052
y_sbi_082,0.09689725924696231,0.09789934742035052,0.09866452890317097,0.1447947465642396,0.09647814392681806
