,result/result_lasso.csv,result/result_ridge.csv,result/result_rf.csv,result_sarima.csv,avg
y_sbi_001,11.177719070384557,11.350680051906979,11.37340105951128,18.012137100184738,10.87614287129896
y_sbi_002,5.886931763384883,5.922222078258396,6.082062130762573,8.997350184880586,5.882558115331017
y_sbi_003,4.833061172417896,4.8506969702213985,4.929798954922787,7.145489610393054,4.785909733796683
y_sbi_004,3.6967028288611616,3.6980276059627997,3.7853248506589647,6.209697473065012,3.6510025418244987
y_sbi_005,7.0288688867802165,7.000354883257157,7.112536699919725,10.430578440807608,6.932567475730005
y_sbi_006,9.413617551445489,9.62695425013206,9.461406057068007,13.69038661078001,9.291476327226851
y_sbi_007,6.485116353064207,6.606583573878591,6.6088060882760775,10.136575625640637,6.38019252984819
y_sbi_008,3.7710181741408584,3.7394078652619394,3.854509850397521,6.287868159195468,3.679903417100004
y_sbi_009,3.6854108784509263,3.7052971701604775,3.8514139770264793,5.9227352549092815,3.6731356662864303
y_sbi_010,5.357715822997537,5.346014130050001,5.444638628880054,8.669037897203957,5.302057181669396
y_sbi_011,4.64357504636879,4.711258155492457,4.95729707135695,7.511786920227149,4.670704385590663
y_sbi_012,5.6149270640299775,5.621649398195929,5.753386896017619,8.218262883384345,5.596577334299295
y_sbi_013,4.56502809298783,4.690010473407888,4.853798179268282,7.6643582258423315,4.581908146518499
y_sbi_014,4.2437570761501595,4.1917468653809795,4.113256212734621,6.035125763720652,4.091237599924303
y_sbi_016,3.8725632219093886,3.8590086380982287,3.949548190279362,6.333657733018469,3.826498767626386
y_sbi_017,3.8855860318494084,3.8773612266536697,3.794242367645907,6.00137530120551,3.790811231836061
y_sbi_018,3.5106485981775335,3.592766888978595,3.6001372693372415,5.432506479546427,3.5117299114789673
y_sbi_019,3.642360834465007,3.6503046819687395,3.657237350607331,5.397081407317656,3.590025770339878
y_sbi_021,6.169499810301831,6.159964374573999,6.132977920650383,9.370869597186145,6.048765401323384
y_sbi_022,5.031003729253069,5.074351769367682,5.077397227548995,7.487520516619215,4.9934118826559555
y_sbi_023,3.370924402275831,3.4213855329246856,3.444616731262031,5.1693667511161445,3.3296939649420367
y_sbi_024,5.528989859129191,5.529999682564891,5.690059254258589,8.749598006705046,5.481992234452846
y_sbi_025,4.026607617891014,4.039670563051529,3.9803986751350062,5.515479264112815,3.942497079263975
y_sbi_026,5.525832336773595,5.5059332741604505,5.43276950264472,9.302175444900833,5.402768826072883
y_sbi_027,4.9370675141441165,4.989754921228204,4.994258562623153,7.16475460850898,4.889479048463639
y_sbi_029,4.505447944589714,4.526544038674812,4.677323365402473,7.06379801545257,4.461083100375623
y_sbi_030,5.877618758293011,5.841575887158161,5.751293490318606,9.871157049417603,5.693204328134799
y_sbi_031,3.74427780745421,3.756619116325077,3.8130257342918177,7.519352169505982,3.7135940397570324
y_sbi_032,4.382738537117632,4.379140146393756,4.431833907888769,6.826531234600544,4.33082077669799
y_sbi_033,3.866527468259128,3.8649381741653603,3.8659575101991734,6.316392542635334,3.7948134738815393
y_sbi_034,3.435133237648882,3.4538469846110473,3.5730991682786986,5.171933170135653,3.43649246767597
y_sbi_035,3.9571388687492286,3.9707762696208726,4.03192077060348,5.911100395776159,3.931166098226066
y_sbi_036,7.872127824810922,8.129149132729875,8.209077255309499,11.630564472057978,7.894960711979714
y_sbi_037,5.239838207761214,5.247127385316581,5.3269455583296725,8.146152590991065,5.183390734046436
y_sbi_038,4.286072065480005,4.355695690308553,4.453647754607896,6.420422021774979,4.286876990578912
y_sbi_039,2.886796254331041,2.895522745598113,2.931827664871194,4.266559675809285,2.871665376966273
y_sbi_040,4.147018072819303,4.151303865442624,4.151871192637753,6.154901706681155,4.066143598111972
y_sbi_041,3.0662121598167764,3.0702132194162126,3.1159016191868343,4.737012434855278,3.0433863758458086
y_sbi_042,4.415697955265669,4.521289180287539,4.6190861596012915,6.743830646786532,4.455182921506121
y_sbi_043,2.2538864848985334,2.270761969250866,2.3318225893933557,3.5170979495848806,2.242842731011893
y_sbi_044,3.213225596861014,3.210524949691108,3.218346976798656,5.16844573630716,3.169108835236151
y_sbi_045,4.676366421973499,4.692810408101974,4.755253842539658,6.9538285540742315,4.646937901583761
y_sbi_046,4.984654736707131,5.022904855206887,4.931715622181663,7.82338464447686,4.846536313377728
y_sbi_048,3.7234682770183074,3.720559207327095,3.7836989914935253,6.231837468181772,3.6517250767490608
y_sbi_049,6.44278345051117,6.415537821245188,6.466081593085761,9.590517575280431,6.373266898505435
y_sbi_050,2.9848485571990206,3.0093575777124717,3.058702677408228,4.736087655971765,2.9716992337411265
y_sbi_051,2.690947150796413,2.6779473336514523,2.7644527818682545,4.435320618516917,2.663487730241122
y_sbi_052,3.2793982414581024,3.2863611297636703,3.299304477597298,4.922881897485468,3.24616174026453
y_sbi_053,2.7298417758262,2.7284616769456935,2.69325431971443,4.164370349482036,2.6892256710485
y_sbi_054,4.04907542078425,4.111929148497863,4.075613251373337,6.076003622470077,4.014121728474681
y_sbi_055,4.694818388642896,4.708170060427958,4.771997920790374,7.589763869892042,4.650177938717383
y_sbi_056,4.151004868971813,4.161859297028402,4.154123588043023,6.744895407492952,4.087569783636015
