,parameters,aic
0,"(4, 0, 2, 1, 0, 1)",26406.20265295172
1,"(3, 0, 2, 1, 0, 1)",26412.387133115815
2,"(4, 0, 0, 1, 0, 1)",26416.69691882934
3,"(2, 0, 2, 1, 0, 1)",26417.70182621657
4,"(3, 0, 1, 1, 0, 1)",26422.543479090276
5,"(4, 0, 1, 1, 0, 1)",26427.4578005831
6,"(3, 0, 0, 1, 0, 1)",26434.1597520735
7,"(2, 0, 0, 1, 0, 1)",26434.31869783785
8,"(2, 0, 1, 1, 0, 1)",26436.824276790947
9,"(4, 0, 2, 1, 0, 0)",26933.026482495607
10,"(2, 0, 2, 1, 0, 0)",26933.919677229806
11,"(3, 0, 1, 1, 0, 0)",26934.20754808896
12,"(4, 0, 1, 1, 0, 0)",26937.867252944918
13,"(3, 0, 2, 1, 0, 0)",26943.665462656823
14,"(4, 0, 2, 0, 0, 1)",26971.57451246537
15,"(2, 0, 2, 0, 0, 1)",26975.365415022723
16,"(3, 0, 1, 0, 0, 1)",26975.517020933978
17,"(4, 0, 1, 0, 0, 1)",26977.221863274517
18,"(3, 0, 2, 0, 0, 1)",26988.531157090936
19,"(4, 0, 2, 0, 0, 0)",27121.717568550703
20,"(3, 0, 1, 0, 0, 0)",27130.742351085137
21,"(2, 0, 2, 0, 0, 0)",27130.996002584052
22,"(3, 0, 2, 0, 0, 0)",27132.332218143125
23,"(4, 0, 1, 0, 0, 0)",27132.64053153258
24,"(4, 0, 0, 1, 0, 0)",27269.568536736027
25,"(4, 0, 0, 0, 0, 1)",27322.204995433854
26,"(3, 0, 0, 1, 0, 0)",27349.5180475533
27,"(2, 0, 0, 1, 0, 0)",27399.826679487996
28,"(3, 0, 0, 0, 0, 1)",27404.89509113682
29,"(2, 0, 1, 1, 0, 0)",27412.27520428958
30,"(2, 0, 0, 0, 0, 1)",27458.16544815481
31,"(2, 0, 1, 0, 0, 1)",27468.581541760024
32,"(4, 0, 0, 0, 0, 0)",27495.352065927033
33,"(3, 0, 0, 0, 0, 0)",27581.23465651643
34,"(2, 0, 1, 0, 0, 0)",27630.501119693105
35,"(2, 0, 0, 0, 0, 0)",27636.785576043345
