,parameters,aic
0,"(4, 0, 0, 0, 1, 2)",37621.116504120764
1,"(4, 0, 1, 0, 1, 2)",37622.16027567015
2,"(4, 0, 0, 1, 1, 1)",37622.24044464743
3,"(4, 0, 0, 2, 1, 1)",37622.86402560467
4,"(4, 0, 0, 1, 1, 2)",37622.9656663962
5,"(4, 0, 1, 1, 1, 1)",37623.32932387692
6,"(4, 1, 1, 1, 1, 1)",37623.755561109785
7,"(4, 0, 1, 2, 1, 1)",37623.8848012606
8,"(4, 0, 1, 1, 1, 2)",37624.00333004311
9,"(4, 1, 1, 2, 1, 1)",37624.10350512977
10,"(4, 1, 1, 1, 1, 2)",37624.30587871401
11,"(4, 0, 0, 2, 1, 2)",37624.36040110803
12,"(4, 0, 1, 2, 1, 2)",37625.61799415352
13,"(4, 1, 1, 2, 1, 2)",37625.96320687301
14,"(2, 0, 2, 0, 1, 2)",37629.29274016695
15,"(4, 0, 2, 0, 1, 2)",37630.15217576672
16,"(3, 0, 1, 0, 1, 2)",37630.20304899994
17,"(2, 0, 2, 1, 1, 1)",37630.66746394883
18,"(2, 0, 1, 0, 1, 2)",37630.7235354946
19,"(2, 0, 2, 2, 1, 1)",37630.75111297876
20,"(2, 0, 2, 1, 1, 2)",37631.23695945052
21,"(4, 1, 1, 0, 1, 2)",37631.39375205524
22,"(3, 0, 1, 1, 1, 1)",37631.41592853437
23,"(4, 0, 2, 1, 1, 1)",37631.583574540455
24,"(4, 0, 2, 2, 1, 1)",37631.59264110944
25,"(4, 0, 2, 1, 1, 2)",37631.824366727575
26,"(3, 0, 1, 2, 1, 1)",37631.90191533734
27,"(2, 0, 1, 1, 1, 1)",37631.99226812764
28,"(2, 0, 1, 2, 1, 1)",37632.378001528574
29,"(3, 0, 1, 1, 1, 2)",37632.425144814624
30,"(2, 0, 1, 1, 1, 2)",37632.5190557589
31,"(2, 0, 2, 2, 1, 2)",37632.833763084425
32,"(3, 0, 1, 2, 1, 2)",37633.41516375158
33,"(4, 0, 2, 2, 1, 2)",37633.48392719716
34,"(2, 0, 1, 2, 1, 2)",37633.97576165867
35,"(2, 1, 2, 0, 1, 2)",37634.61012889055
36,"(3, 1, 2, 0, 1, 2)",37634.69355303537
37,"(3, 0, 2, 0, 1, 2)",37634.7231835705
38,"(2, 1, 2, 1, 1, 1)",37635.553018374834
39,"(3, 0, 2, 1, 1, 1)",37635.991347131465
40,"(3, 0, 2, 2, 1, 1)",37636.37081473256
41,"(3, 0, 2, 1, 1, 2)",37636.51840362005
42,"(3, 0, 0, 0, 1, 2)",37637.01850750118
43,"(3, 0, 2, 2, 1, 2)",37637.9103044206
44,"(2, 1, 2, 2, 1, 2)",37638.32988593527
45,"(3, 0, 0, 1, 1, 1)",37638.43443576566
46,"(3, 0, 0, 2, 1, 1)",37638.601465447384
47,"(3, 0, 0, 1, 1, 2)",37638.70055311718
48,"(2, 1, 2, 2, 1, 1)",37638.82121235128
49,"(3, 0, 0, 2, 1, 2)",37639.92058905128
50,"(3, 1, 2, 1, 1, 1)",37640.9472047634
51,"(4, 1, 2, 0, 1, 2)",37641.48619490316
52,"(4, 1, 2, 2, 1, 2)",37641.90253573891
53,"(2, 1, 2, 1, 1, 2)",37643.58971616555
54,"(2, 0, 0, 0, 1, 2)",37644.80982540122
55,"(4, 1, 2, 1, 1, 1)",37645.78561841826
56,"(4, 1, 2, 2, 1, 1)",37645.82051069017
57,"(2, 0, 0, 1, 1, 1)",37646.3129520812
58,"(2, 0, 0, 1, 1, 2)",37646.36945732282
59,"(2, 0, 0, 2, 1, 1)",37646.37625042449
60,"(4, 1, 2, 1, 1, 2)",37646.43402572579
61,"(2, 0, 0, 2, 1, 2)",37647.358753977525
62,"(3, 1, 2, 1, 1, 2)",37649.623882978354
63,"(3, 1, 2, 2, 1, 1)",37651.840030015825
64,"(3, 1, 2, 2, 1, 2)",37654.8045608906
65,"(4, 0, 0, 0, 1, 1)",37666.17852569986
66,"(4, 0, 1, 0, 1, 1)",37667.22819830262
67,"(4, 1, 1, 0, 1, 1)",37667.83357743706
68,"(2, 0, 2, 0, 1, 1)",37673.626439438565
69,"(4, 0, 2, 0, 1, 1)",37674.676320430604
70,"(3, 0, 2, 0, 1, 1)",37675.00028093274
71,"(3, 0, 1, 0, 1, 1)",37676.25017850526
72,"(2, 0, 1, 0, 1, 1)",37676.95992278231
73,"(3, 1, 2, 0, 1, 1)",37680.42730684839
74,"(2, 1, 2, 0, 1, 1)",37680.9804459261
75,"(3, 0, 0, 0, 1, 1)",37683.50266697451
76,"(2, 0, 0, 0, 1, 1)",37691.14020818164
77,"(4, 1, 2, 0, 1, 1)",37691.29955007157
78,"(4, 1, 1, 1, 0, 2)",37801.90550686174
79,"(4, 0, 0, 1, 0, 2)",37802.681558767144
80,"(4, 0, 0, 2, 0, 1)",37803.78827982638
81,"(4, 0, 1, 1, 0, 2)",37804.04617902947
82,"(4, 1, 1, 2, 0, 1)",37804.748153532644
83,"(4, 0, 1, 2, 0, 1)",37805.25103241383
84,"(3, 0, 2, 1, 0, 2)",37807.11463805764
85,"(4, 0, 2, 1, 0, 2)",37807.61726496949
86,"(4, 0, 0, 2, 0, 2)",37809.14444276529
87,"(2, 1, 2, 2, 0, 1)",37811.10931927526
88,"(3, 0, 1, 1, 0, 2)",37811.14174885004
89,"(2, 1, 2, 2, 0, 2)",37811.157252224395
