station,1,2,3,4,5
1.0,27.0,31.0,35.0,23.0,11.0
2.0,23.0,7.0,3.0,15.0,27.0
3.0,11.0,15.0,27.0,35.0,31.0
4.0,27.0,7.0,31.0,19.0,11.0
5.0,35.0,19.0,31.0,23.0,27.0
6.0,23.0,27.0,15.0,31.0,19.0
7.0,11.0,19.0,23.0,31.0,27.0
8.0,35.0,27.0,31.0,23.0,19.0
9.0,7.0,15.0,27.0,11.0,23.0
10.0,11.0,27.0,15.0,31.0,19.0
11.0,3.0,15.0,7.0,27.0,11.0
12.0,35.0,23.0,7.0,15.0,27.0
13.0,31.0,27.0,7.0,19.0,23.0
14.0,15.0,7.0,23.0,27.0,11.0
16.0,15.0,11.0,7.0,19.0,27.0
17.0,7.0,15.0,27.0,23.0,19.0
18.0,35.0,11.0,31.0,19.0,27.0
19.0,19.0,23.0,31.0,27.0,15.0
21.0,11.0,19.0,31.0,27.0,15.0
22.0,23.0,15.0,27.0,31.0,35.0
23.0,31.0,27.0,15.0,19.0,3.0
24.0,15.0,27.0,19.0,31.0,23.0
25.0,7.0,11.0,15.0,27.0,19.0
26.0,23.0,15.0,7.0,19.0,27.0
27.0,35.0,11.0,23.0,27.0,31.0
29.0,23.0,11.0,7.0,15.0,19.0
30.0,31.0,27.0,19.0,35.0,7.0
31.0,11.0,23.0,19.0,31.0,35.0
32.0,11.0,23.0,7.0,15.0,27.0
33.0,15.0,27.0,19.0,35.0,31.0
34.0,23.0,11.0,31.0,15.0,35.0
35.0,27.0,15.0,7.0,11.0,3.0
36.0,11.0,23.0,19.0,35.0,27.0
37.0,31.0,15.0,27.0,19.0,7.0
38.0,31.0,19.0,27.0,35.0,15.0
39.0,23.0,11.0,15.0,35.0,27.0
40.0,15.0,27.0,3.0,19.0,7.0
41.0,23.0,11.0,15.0,27.0,35.0
42.0,35.0,7.0,11.0,27.0,15.0
43.0,31.0,27.0,7.0,11.0,15.0
44.0,11.0,7.0,27.0,35.0,23.0
45.0,27.0,23.0,15.0,31.0,11.0
46.0,31.0,27.0,11.0,7.0,19.0
48.0,31.0,11.0,19.0,27.0,3.0
