,Unnamed: 0,parameters,aic,type
0,0,"(2, 0, 1, 1, 0, 1)",24576.71733092872,7
1,1,"(4, 0, 0, 1, 0, 1)",24576.918784575,27
2,2,"(2, 0, 2, 1, 0, 1)",24577.371229782955,11
3,3,"(4, 0, 1, 1, 0, 1)",24580.219149767534,31
4,4,"(4, 0, 2, 1, 0, 1)",24582.6784435456,35
5,5,"(3, 0, 1, 1, 0, 1)",24582.90426113576,19
6,6,"(3, 0, 2, 1, 0, 1)",24585.659048828995,23
7,7,"(2, 0, 0, 1, 0, 1)",24586.804017894574,3
8,8,"(3, 0, 0, 1, 0, 1)",24902.243260207604,15
9,9,"(4, 0, 2, 1, 0, 0)",25296.113827760586,34
10,10,"(2, 0, 2, 1, 0, 0)",25301.375114500646,10
11,11,"(4, 0, 2, 0, 0, 1)",25352.131054599107,33
12,12,"(2, 0, 2, 0, 0, 1)",25366.455149684676,9
13,13,"(3, 0, 0, 1, 0, 0)",25642.24039553942,14
14,14,"(3, 0, 1, 1, 0, 0)",25644.238407577664,18
15,15,"(4, 0, 0, 1, 0, 0)",25644.239929460524,26
16,16,"(4, 0, 1, 1, 0, 0)",25646.14753605986,30
17,17,"(3, 0, 2, 1, 0, 0)",25648.683146697873,22
18,18,"(2, 0, 1, 1, 0, 0)",25653.152810009862,6
19,19,"(2, 0, 0, 1, 0, 0)",25669.087531252168,2
20,20,"(3, 0, 0, 0, 0, 1)",25718.33054356041,13
21,21,"(3, 0, 2, 0, 0, 1)",25719.019637588593,21
22,22,"(3, 0, 1, 0, 0, 1)",25719.637236504423,17
23,23,"(4, 0, 0, 0, 0, 1)",25719.98766692292,25
24,24,"(4, 0, 1, 0, 0, 1)",25721.49315496236,29
25,25,"(2, 0, 1, 0, 0, 1)",25723.05309368895,5
26,26,"(2, 0, 0, 0, 0, 1)",25738.827287119708,1
27,27,"(2, 0, 1, 0, 0, 0)",25919.411612748263,4
28,28,"(3, 0, 1, 0, 0, 0)",25920.849573311963,16
29,29,"(2, 0, 2, 0, 0, 0)",25920.871624865245,8
30,30,"(4, 0, 0, 0, 0, 0)",25921.435398920028,24
31,31,"(3, 0, 0, 0, 0, 0)",25922.128175505997,12
32,32,"(4, 0, 1, 0, 0, 0)",25922.753326709877,28
33,33,"(3, 0, 2, 0, 0, 0)",25922.76560538191,20
34,34,"(4, 0, 2, 0, 0, 0)",25924.60642314741,32
35,35,"(2, 0, 0, 0, 0, 0)",25933.474560057344,0
