,model,name,sno,results,best_param,RMSE,time
0,Lasso ,All_Feature,1,"[12.478523386857546, 12.48952174609945, 14.824095938683056]",{'alpha': 0.06999999999999999},11.480354179239473,1.6818199157714844
1,Ridge ,All_Feature,1,"[12.223407872484067, 12.210028015999216, 12.2266857641]",{'alpha': 2.0},10.911526172763246,10.028820514678955
2,Random Forest ,All_Feature,1,"[13.4188879091844, 13.145571182164542, 13.141547218738545]","{'max_depth': 50, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 70}",10.997053378222326,149.07362174987793
3,Adaboost ,All_Feature,1,"[15.606299113957427, 12.226574956047982, 12.205716478941351]","{'learning_rate': 0.09, 'loss': 'square', 'n_estimators': 5}",10.979270220798169,44.811416149139404
4,XGBoost,All_Feature,1,"[14.167883037333173, 14.235195828501723, 14.192071143708969]","{'booster': 'gblinear', 'eta': 6.999999999999999e-16, 'max_depth': 10, 'min_child_weight': 4, 'n_estimators': 195}",11.873590365010424,31.04845643043518
0,Lasso ,All_Feature,2,"[6.400285668813511, 6.412919491205687, 6.657678601709061]",{'alpha': 0.026000000000000002},5.931351081426733,1.7262136936187744
1,Ridge ,All_Feature,2,"[6.340240553899083, 6.333643564443274, 6.350586194508667]",{'alpha': 6.0},5.8700137615598935,9.845058679580688
2,Random Forest ,All_Feature,2,"[6.38587911969121, 6.356506216475931, 6.361488836134153]","{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 165}",5.964710527789557,156.2163097858429
3,Adaboost ,All_Feature,2,"[7.509860560162571, 6.3743020550399345, 6.3547286024399]","{'learning_rate': 0.005, 'loss': 'square', 'n_estimators': 15}",5.897028060867019,44.83092546463013
4,XGBoost,All_Feature,2,"[6.9297892434996715, 6.6231991026855805, 6.618787014190504]","{'booster': 'gblinear', 'eta': 4e-18, 'max_depth': 10, 'min_child_weight': 4, 'n_estimators': 180}",6.159020832902893,29.763742446899414
0,Lasso ,All_Feature,3,"[4.726859926134091, 4.756376526859701, 4.940001929859977]",{'alpha': 0.05},4.8149237872007875,1.7017574310302734
1,Ridge ,All_Feature,3,"[4.783286025823022, 4.783286026349513, 4.778030557692586]",{'alpha': 9.9e-08},4.955506884862341,9.881080150604248
