,model,name,sno,results,best_param,RMSE,time
0,Lasso ,All_Feature,51,"[2.66893122421473, 2.6673654200355874, 2.715398595448864]",{'alpha': 0.013000000000000001},2.669245174437013,1.9039101600646973
1,Ridge ,All_Feature,51,"[2.637887329522252, 2.6276392380391, 2.6260806374383834]",{'alpha': 42.0},2.6300803184110237,10.277484655380249
2,Random Forest ,All_Feature,51,"[2.726043197376693, 2.720307064074505, 2.720307064074505]","{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 100}",2.7488463572708883,114.60078930854797
3,Adaboost ,All_Feature,51,"[4.145129462736687, 2.6264188519992033, 2.6264188519992033]","{'learning_rate': 1e-05, 'loss': 'square', 'n_estimators': 80}",2.636641574335994,67.49555945396423
4,XGBoost,All_Feature,51,"[2.9138231418887193, 2.918632223952586, 2.8950128372351442]","{'booster': 'gblinear', 'eta': 1e-17, 'max_depth': 50, 'min_child_weight': 4, 'n_estimators': 190}",2.8289330974038847,29.310608625411987
0,Lasso ,All_Feature,52,"[3.447134505096675, 3.447453021077022, 3.5619985694320926]",{'alpha': 0.011},3.281996728298094,1.7832286357879639
1,Ridge ,All_Feature,52,"[3.4740235221137414, 3.4775990015947604, 3.48860340339286]",{'alpha': 16.0},3.2977165199047076,10.681407451629639
2,Random Forest ,All_Feature,52,"[3.5683359923138034, 3.4663845906099824, 3.470329851454063]","{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 115}",3.288376132065646,120.37529969215393
3,Adaboost ,All_Feature,52,"[4.153020056732794, 3.514446456672891, 3.506117640386762]","{'learning_rate': 0.01, 'loss': 'square', 'n_estimators': 15}",3.3210823079253062,45.15823698043823
4,XGBoost,All_Feature,52,"[3.881034216318719, 3.5988446121552573, 3.6004366562581325]","{'booster': 'gblinear', 'eta': 9.000000000000001e-15, 'max_depth': 50, 'min_child_weight': 2, 'n_estimators': 170}",3.399890477279738,28.584599018096924
0,Lasso ,All_Feature,53,"[2.857928304908704, 2.859941205186353, 2.9425969952670576]",{'alpha': 0.012},2.706893337454476,1.7703089714050293
1,Ridge ,All_Feature,53,"[2.826701805506312, 2.8277295201843122, 2.8285034966021625]",{'alpha': 39.0},2.7007483416269515,10.45102071762085
2,Random Forest ,All_Feature,53,"[3.0974014017253384, 2.930212810835519, 2.930212810835519]","{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 120}",2.708099819699303,111.29631519317627
3,Adaboost ,All_Feature,53,"[3.5657241149478613, 2.8324018297734668, 2.8324018297734668]","{'learning_rate': 0.001, 'loss': 'square', 'n_estimators': 60}",2.7222897226531586,59.45412635803223
4,XGBoost,All_Feature,53,"[3.5681920785427463, 2.945928078604616, 2.940769511752492]","{'booster': 'gblinear', 'eta': 5.000000000000001e-15, 'max_depth': 20, 'min_child_weight': 2, 'n_estimators': 190}",2.7045730312213196,29.31651782989502
0,Lasso ,All_Feature,54,"[4.0458598756680875, 4.086675890104531, 4.212489467993108]",{'alpha': 0.026000000000000002},4.053092249743078,1.7592978477478027
1,Ridge ,All_Feature,54,"[4.099335387010416, 4.085354811517662, 4.11887862769344]",{'alpha': 5.0},4.108272522947704,10.635606527328491
2,Random Forest ,All_Feature,54,"[3.957364267429136, 3.9333732952601888, 3.934679698053847]","{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 80}",4.0383195844918465,111.49843764305115
3,Adaboost ,All_Feature,54,"[4.554858014685077, 4.126596099551871, 4.126699234881663]","{'learning_rate': 0.0009000000000000001, 'loss': 'square', 'n_estimators': 100}",4.125536511039633,74.30553555488586
4,XGBoost,All_Feature,54,"[4.520784178515518, 4.227185913100676, 4.218573579366444]","{'booster': 'gblinear', 'eta': 3.0000000000000002e-15, 'max_depth': 50, 'min_child_weight': 4, 'n_estimators': 170}",4.259733670032257,28.587531805038452
0,Lasso ,All_Feature,55,"[4.633271584699061, 4.631703980099743, 4.848891955454541]",{'alpha': 0.006},4.690165894589038,1.8430349826812744
1,Ridge ,All_Feature,55,"[4.656157238166648, 4.656906753709491, 4.650289578353661]",{'alpha': 0.099},4.682379473885176,10.471966981887817
2,Random Forest ,All_Feature,55,"[4.775195017706487, 4.64659111484349, 4.64659111484349]","{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 80}",4.712549176019824,124.47097969055176
3,Adaboost ,All_Feature,55,"[6.886086963240164, 4.6556851228884275, 4.652924566326209]","{'learning_rate': 3e-07, 'loss': 'square', 'n_estimators': 100}",4.68470335553824,80.6653938293457
4,XGBoost,All_Feature,55,"[5.124297162614666, 4.8362947767142614, 4.836886202317873]","{'booster': 'gblinear', 'eta': 9.000000000000001e-15, 'max_depth': 20, 'min_child_weight': 4, 'n_estimators': 190}",4.949878458162083,29.0363450050354
0,Lasso ,All_Feature,56,"[3.8695217013859735, 3.863293201728016, 4.456370073371419]",{'alpha': 0.017},4.129673950901349,1.7831954956054688
1,Ridge ,All_Feature,56,"[3.856414332175612, 3.8650401030007666, 3.8650401030007666]",{'alpha': 6.8},4.127320577365497,10.590652227401733
2,Random Forest ,All_Feature,56,"[3.849407896845427, 3.8410117409553237, 3.851750378175573]","{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",4.1568697392113565,134.04166436195374
3,Adaboost ,All_Feature,56,"[5.202258322196077, 3.8973152733337897, 3.8940452237075545]","{'learning_rate': 0.0002, 'loss': 'square', 'n_estimators': 15}",4.132316192545467,43.36383843421936
4,XGBoost,All_Feature,56,"[4.055107053105597, 4.3145998130959065, 4.321023277897975]","{'booster': 'gblinear', 'eta': 2e-16, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 165}",4.596692994077387,28.96552085876465
0,Lasso ,All_Feature,57,"[4.621009393224236, 4.630759330466038, 4.720533790210405]",{'alpha': 0.016},4.256755942119338,1.7881793975830078
1,Ridge ,All_Feature,57,"[4.654463649311011, 4.664188731787063, 4.679097724517219]",{'alpha': 18.0},4.234567183366503,10.63660192489624
2,Random Forest ,All_Feature,57,"[4.759969140912573, 4.659288104775097, 4.6785986735442995]","{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 11, 'n_estimators': 95}",4.2559091014718335,132.55038809776306
3,Adaboost ,All_Feature,57,"[6.048872591603994, 4.677723713999226, 4.679232488112199]","{'learning_rate': 0.001, 'loss': 'square', 'n_estimators': 175}",4.275749065961021,103.65204691886902
