,time,sbi,station_id,tot,PrecpHour,UVI,td,HUMD,H_24R,PRES,TEMP,WDSE,comfort,WD_E,WD_ENE,WD_ESE,WD_N,WD_NE,WD_NNE,WD_NNW,WD_NW,WD_S,WD_SE,WD_SSE,WD_SSW,WD_SW,WD_W,WD_WNW,WD_WSW,wkdy_0,wkdy_1,wkdy_2,wkdy_3,wkdy_4,wkdy_5,wkdy_6,hrs_0,hrs_1,hrs_10,hrs_11,hrs_12,hrs_13,hrs_14,hrs_15,hrs_16,hrs_17,hrs_18,hrs_19,hrs_2,hrs_20,hrs_21,hrs_22,hrs_23,hrs_3,hrs_4,hrs_5,hrs_6,hrs_7,hrs_8,hrs_9,holiday,lat,lng,cat_hospital_500,cat_college_500,cat_train_500,cat_hospital_1000,cat_college_1000,cat_train_1000,sbi_1h,sbi_2h,sbi_3h,sbi_4h,sbi_5h,sbi_6h,sbi_7h,sbi_8h,sbi_9h,sbi_10h,sbi_11h,sbi_12h,sbi_1d,sbi_2d,sbi_3d,sbi_4d,sbi_5d,sbi_6d,sbi_7d,y_sbi,percet
0,2020-05-14 13:00:00,8,2,48,0.0,7,19.5,49.0,0.0,1002.7,32.4,0.9,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,6.0,16.67
1,2020-05-14 14:00:00,6,2,48,0.0,6,19.1,55.0,0.0,1002.1,31.6,0.3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,8.0,,,,,,,,,,,,,,,,,,,2.0,12.5
2,2020-05-14 15:00:00,2,2,48,0.0,5,21.0,57.0,0.0,1002.0,30.8,0.4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,6.0,8.0,,,,,,,,,,,,,,,,,,4.0,4.17
3,2020-05-14 16:00:00,4,2,48,0.0,5,21.4,60.0,0.0,1002.2,29.8,1.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,2.0,6.0,8.0,,,,,,,,,,,,,,,,,6.0,8.33
4,2020-05-14 17:00:00,6,2,48,0.0,5,22.3,66.0,0.0,1002.3,28.6,0.8,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,4.0,2.0,6.0,8.0,,,,,,,,,,,,,,,,21.0,12.5
5,2020-05-14 18:00:00,21,2,48,0.0,0,22.5,73.0,0.0,1002.5,27.3,0.9,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,6.0,4.0,2.0,6.0,8.0,,,,,,,,,,,,,,,9.0,43.75
6,2020-05-14 19:00:00,9,2,48,0.0,0,22.6,75.0,0.0,1003.1,27.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,21.0,6.0,4.0,2.0,6.0,8.0,,,,,,,,,,,,,,6.0,18.75
7,2020-05-14 20:00:00,6,2,48,0.0,0,22.7,76.0,0.0,1003.6,26.8,0.2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,9.0,21.0,6.0,4.0,2.0,6.0,8.0,,,,,,,,,,,,,4.0,12.5
8,2020-05-14 21:00:00,4,2,48,0.0,0,22.9,74.0,0.0,1003.8,27.1,0.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,6.0,9.0,21.0,6.0,4.0,2.0,6.0,8.0,,,,,,,,,,,,1.0,8.33
9,2020-05-14 22:00:00,1,2,48,0.0,0,22.7,77.0,0.0,1003.5,26.6,0.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,25.041254,121.55742,True,False,False,True,False,False,4.0,6.0,9.0,21.0,6.0,4.0,2.0,6.0,8.0,,,,,,,,,,,3.0,2.08
